src,invoice_number,invoice_date,due_date,seller_name,client_name,total,tax,n_items,amt
batch1_1,42498094,03/21/2017,,Hall LLC,Brown-Vazquez,141.87,12.90,3,141.87
batch1_1,84423800,10/11/2019,,"Reyes, Fox and Martinez",Morgan Ltd,1026.71,93.34,5,1026.71
batch1_1,76628307,05/05/2019,,Smith-Torres,"Medina, Moss and Martin","3 393,40","308,49",5,339340.0
batch1_1,92395596,10/03/2011,,"Rodriguez, White and Hernandez",Young Inc,1.99,0.20,1,1.99
batch1_1,61479635,07/02/2018,,Kelley-Thomas,"Green, Kelly and Matthews",32.95,3.00,1,32.95
batch1_1,51295021,01/05/2017,,Sims-Olson,Martinez-English,9256.59,841.51,2,9256.59
batch1_1,31293737,12/15/2020,,Nunez Inc,Alvarez Inc,371.51,37.15,7,371.51
batch1_1,74184749,03/07/2015,,Klein and Sons,Liu-Perry,2.99,0.30,1,2.99
batch1_1,94166183,08/24/2019,,West-Hodges,Simmons Inc,21.56,1.96,1,21.56
batch1_1,49360354,05/03/2017,,Armstrong Inc,"Yu, Williams and Barry",394.19,35.84,5,394.19
batch1_1,94772624,03/01/2015,,Smith-Strickland,"Goodman, Rogers and Williams",55.00,5.00,1,55.0
batch1_1,87958388,04/11/2016,,Robinson and Sons,Jackson-Cardenas,5 101.77,463.80,2,5101.77
batch1_1,13891625,10/14/2017,,Marshall-Mullins,"Chang, Moore and Faulkner","7 737,70","703,43",7,773770.0
batch1_1,36433509,03/29/2021,,Gutierrez LLC,"Miller, Myers and Bean",12.76,1.16,1,12.76
batch1_1,22019496,03/14/2012,,Barron-Rodriguez,"Cruz, Navarro and Brown","162,33","14,76",7,16233.0
batch1_1,25604558,03/08/2015,,Mcdaniel Inc,Taylor and Sons,306.82,27.89,3,306.82
batch1_1,67743685,01/24/2018,,"Cooper, Wilson and Tran","Reed, Hall and Brown",247.84,22.53,7,247.84
batch1_1,61874671,07/26/2018,,Gonzales-Faulkner,Garcia-Jones,312.93,28.45,3,312.93
batch1_1,77668740,01/02/2016,,"Ryan, Garcia and Gregory","Hopkins, Gonzales and Mccarthy",1.99,0.20,1,1.99
batch1_1,46506594,03/12/2012,,Porter-Perkins,Castaneda LLC,1469.45,133.59,6,1469.45
batch1_1,94215570,11/05/2017,,Henry Inc,"Cole, Lee and Long",10.98,1.00,1,10.98
batch1_1,72128555,12/25/2013,,Obrien Group,Duncan-Davis,732.34,66.58,5,732.34
batch1_1,16499996,05/05/2019,,Nichols-Powell,Ballard-Henry,21.45,1.95,1,21.45
batch1_1,95216794,08/10/2017,,"Nguyen, Russell and Rodriguez",Adams-Burns,48.14,4.38,4,48.14
batch1_1,68688408,03/20/2016,,Torres and Sons,"Dennis, Levy and Bowen",91.27,8.30,2,91.27
batch1_1,69875170,07/18/2014,,"Davis, Thomas and Larson",Romero Inc,"194 521,70","17 683,79",5,19452170.0
batch1_1,74980573,09/27/2015,,West Group,Zimmerman and Sons,191.26,17.39,3,191.26
batch1_1,20434959,12/20/2011,,"Garrett, Gonzales and Hurley","Holloway, Stanton and Dunn",29.67,2.70,1,29.67
batch1_1,67103708,01/20/2020,,French PLC,Hernandez Group,43.96,4.00,1,43.96
batch1_1,33085665,11/07/2011,,Rose-Brown,Mcclain PLC,"1 023,94","93,09",2,102394.0
batch1_1,20237936,11/08/2020,,Santos-Lee,Jackson PLC,428.90,38.99,2,428.9
batch1_1,95163776,07/10/2016,,Banks Group,Ellis Group,731.23,66.48,2,731.23
batch1_1,50846623,01/30/2016,,"Hood, Andrade and Kim",Browning Ltd,120.99,11.00,1,120.99
batch1_1,82977013,12/06/2013,,Daniel-Morrison,"Snyder, Benton and Reed",269.49,24.50,3,269.49
batch1_1,69703455,02/06/2014,,Anderson Group,"Hendricks, Hart and Miller",4 007.31,364.30,6,4007.31
batch1_1,46915335,07/08/2020,,Aguilar-Thompson,"Mcintyre, Becker and Moore",22.00,2.00,1,22.0
batch1_1,74494433,09/12/2017,,Huynh-Ruiz,Mcintosh-Macdonald,4008.74,364.43,6,4008.74
batch1_1,15203117,05/10/2019,,"Gutierrez, Shah and Davis","Howell, Bryant and Martinez",25.52,2.32,1,25.52
batch1_1,90188228,03/28/2016,,Baker-Smith,Lozano-Lindsey,353.66,32.15,4,353.66
batch1_1,25194747,05/19/2018,,Castillo-Jones,Preston-Webster,152.87,13.90,3,152.87
batch1_1,77596491,01/31/2021,,"Tran, Hurst and Rodgers",Stephenson Inc,24.95,2.27,1,24.95
batch1_1,57600191,03/17/2017,,"Mckenzie, Johnson and Rich",Dean Inc,"2 454,03",223.09,4,245403.0
batch1_1,18670724,02/02/2018,,Davis-Shepherd,"Fisher, Gonzalez and Garcia",2441.81,221.98,6,2441.81
batch1_1,80273553,11/26/2012,,"Cohen, Saunders and Chapman","Gray, Conway and Burke",32.83,2.98,1,32.83
batch1_1,89790497,10/02/2020,,"Campbell, Chavez and Reynolds",Rodriguez-Morgan,127.31,11.57,3,127.31
batch1_1,72929361,06/29/2020,,Dawson-Strickland,Hobbs-Stevens,324.50,29.50,1,324.5
batch1_1,40700258,12/27/2013,,Maxwell Inc,"Schmidt, Brooks and Petersen",514.02,46.73,7,514.02
batch1_1,93493698,04/05/2015,,Gould-Martinez,Gilbert-Colon,6 140.09,558.19,5,6140.09
batch1_1,98396639,02/27/2012,,Mullen-Smith,Crawford PLC,"18 614,34","1 692,21",5,1861434.0
batch1_1,80489404,12/21/2013,,Gonzalez LLC,Nelson PLC,470.92,42.81,7,470.92
batch1_1,10819011,02/09/2018,,Callahan and Sons,King-Harris,561.70,51.06,4,561.7
batch1_1,50554106,12/17/2012,,Fernandez LLC,Brown-Carr,"18 863,63","1 714,88",6,1886363.0
batch1_1,77522687,05/14/2019,,"Smith, Page and Ross",Powers LLC,"47 502,39","4 318,40",2,4750239.0
batch1_1,23908850,04/08/2016,,"Galloway, Silva and Nelson","Meza, Long and Rivera",304.92,27.72,5,304.92
batch1_1,50357965,02/06/2015,,Curtis-Lloyd,"Conner, Lucas and Mullen",387.11,35.19,5,387.11
batch1_1,47725399,05/14/2013,,"Olson, Holt and Burton","Pope, Yang and Farley",3262.02,296.55,6,3262.02
batch1_1,77658002,01/21/2014,,"Mckenzie, Clay and Campos",Espinoza LLC,323.14,29.38,7,323.14
batch1_1,17599610,10/11/2013,,"Brown, Lowery and Sandoval","Nash, Benitez and Johnston",36.33,3.30,2,36.33
batch1_1,76724637,07/10/2017,,"Harrell, Johnson and Thompson",Mora and Sons,418.84,38.08,5,418.84
batch1_1,76229289,12/04/2018,,Rodriguez and Sons,Lucero-Brown,"5 664,90","514,99",3,566490.0
batch1_1,16273983,04/01/2017,,"Reyes, Holloway and Lee",Castillo LLC,819.06,74.46,5,819.06
batch1_1,65028137,01/03/2014,,"Johnson, Barrett and King",Townsend-Mitchell,98.95,9.00,1,98.95
batch1_1,58051696,11/05/2019,,"Johnson, Buckley and Terry","Palmer, Chan and Salazar",53.96,4.91,4,53.96
batch1_1,48190115,02/15/2013,,"Wilson, Sanders and Smith",Medina-Robinson,1250.75,113.70,5,1250.75
batch1_1,13310164,01/16/2020,,Montgomery LLC,Campbell-Flores,"18 749,50","1 704,50",3,1874950.0
batch1_1,56427222,11/26/2018,,"Padilla, Webb and Pearson",Marsh-Kennedy,307.93,27.99,3,307.93
batch1_1,99116837,12/21/2012,,Moore-Miller,Matthews Ltd,4695.01,426.82,7,4695.01
batch1_1,15318030,05/10/2012,,"Cantu, Livingston and Baker","Mosley, Ortega and Lynch",2511.20,228.29,5,2511.2
batch1_1,13886485,11/24/2013,,Chan-Becker,Mitchell LLC,46 215.06,4 201.37,5,46215.06
batch1_1,61231490,03/06/2012,,Rivers-Martin,Escobar-Johnson,"181,34",16.49,1,18134.0
batch1_1,67973203,09/03/2012,,Brown-Russell,Rodriguez Group,"350,24","31,84",2,35024.0
batch1_1,72869097,03/23/2021,,"Pierce, Barber and Howard",Johnson-Jacobson,701.72,63.79,2,701.72
batch1_1,50027163,02/24/2012,,"Mendez, Gibson and Shaffer","Hill, Cortez and Hays",10 865.23,987.75,4,10865.23
batch1_1,35312696,05/11/2017,,"Parker, Khan and Parker","Thompson, Terry and Johnson",321.95,29.27,7,321.95
batch1_1,24060857,07/09/2015,,"Gonzalez, Bauer and Taylor",Collins-Williams,261.41,26.14,3,261.41
batch1_1,81978187,01/17/2013,,Padilla-Miller,Johnson Ltd,"124,79","11,34",2,12479.0
batch1_1,86736203,05/20/2013,,Potter-Gordon,Salinas Ltd,"15 574,11","1 415,83",7,1557411.0
batch1_1,21024792,02/23/2013,,Black-Smith,Peterson-Taylor,6.38,0.58,1,6.38
batch1_1,20802870,02/08/2017,,Ramirez Ltd,Warren-Willis,"29 087,53","2 644,32",5,2908753.0
batch1_1,11637316,03/21/2015,,"Thornton, Franklin and Hamilton","Farmer, Pennington and Osborn",4140.06,376.37,5,4140.06
batch1_1,49923258,10/26/2011,,Watson LLC,Roth-Smith,1182.50,107.50,2,1182.5
batch1_1,26622011,01/08/2020,,Campos-Hawkins,Bird-Mccormick,986.70,89.70,1,986.7
batch1_1,62256280,11/08/2020,,Myers Inc,Cook-Smith,2 970.00,270.00,1,2970.0
batch1_1,41884162,12/21/2016,,Weaver Ltd,Christian-Taylor,32.83,2.98,1,32.83
batch1_1,61669642,11/12/2013,,Carter Inc,"Torres, Sutton and Weeks",151.38,13.76,2,151.38
batch1_1,92179921,10/11/2012,,"Logan, Deleon and Ayers",Moyer-Jones,266.11,24.19,4,266.11
batch1_1,29998351,12/21/2012,,Johnson-Mcdonald,Sheppard Ltd,"20 085,99","1 826,00",6,2008599.0
batch1_1,45279263,02/18/2013,,Anderson Ltd,"Sanchez, Watson and Turner",25.15,2.29,1,25.15
batch1_1,18975369,05/26/2021,,"Padilla, Mccarthy and Gonzales",Parker-Fowler,154.00,14.00,1,154.0
batch1_1,51335214,03/27/2015,,Rivera Group,"Malone, Wilson and Carson",204.27,18.57,3,204.27
batch1_1,13026595,01/26/2017,,Ryan LLC,Thompson-Wright,7269.80,660.89,4,7269.8
batch1_1,43494216,10/31/2015,,Austin-Mcmillan,Lopez Ltd,5 375.57,488.69,5,5375.57
batch1_1,59119338,04/11/2017,,Green-Wright,Mosley PLC,502.74,45.70,6,502.74
batch1_1,93300746,02/11/2013,,"Holloway, Ford and Smith","Pena, Hernandez and Miller",365.13,33.19,7,365.13
batch1_1,19579298,02/02/2018,,Merritt-Gallagher,Andrews-Rivera,"23 988,86","2 180,81",6,2398886.0
batch1_1,99214533,05/25/2017,,"Burns, Padilla and Daniels",Tapia-Warren,"9 809,80","891,80",2,980980.0
batch1_1,89876179,04/14/2014,,King Inc,Leonard LLC,"237,60","21,60",2,23760.0
batch1_1,99935945,03/19/2014,,Fox-Reeves,Myers PLC,1349.08,122.64,5,1349.08
batch1_1,23882917,03/29/2014,,Hawkins PLC,"Lopez, Beard and James",178.16,16.20,5,178.16
batch1_1,75399670,03/25/2012,,Roberts-Larson,"Hernandez, Murphy and Saunders",246.28,22.39,5,246.28
batch1_1,72761554,11/12/2014,,Phillips-Bailey,"Johnson, Smith and Adkins","5 439,26","494,48",4,543926.0
batch1_1,67851927,09/22/2016,,"Forbes, Young and Fisher",Moore and Sons,1037.38,94.31,5,1037.38
batch1_1,49380136,02/21/2019,,"Moran, Harris and Smith",Hughes-Raymond,190.62,17.33,4,190.62
batch1_1,32762320,12/04/2016,,Harris-Thomas,Santos PLC,129.60,11.78,4,129.6
batch1_1,57986024,10/17/2015,,Schmidt LLC,Allen PLC,237.29,21.57,5,237.29
batch1_1,59977720,06/16/2020,,Long LLC,"Long, Nguyen and Anderson",331.78,30.16,2,331.78
batch1_1,38510682,09/05/2011,,Solomon-Murray,Sanchez Inc,743.58,67.60,3,743.58
batch1_1,60605668,09/27/2017,,Foster-Beard,Henderson and Sons,6 097.29,554.30,2,6097.29
batch1_1,22132714,05/08/2020,,Jordan-Cohen,Petersen LLC,5 295.73,10%,7,5295.73
batch1_1,39772830,03/30/2016,,Gentry-Villarreal,"Ray, Evans and Davis",823.66,74.88,4,823.66
batch1_1,32177071,04/12/2017,,Kirby PLC,Nelson Inc,103.92,9.45,2,103.92
batch1_1,40044178,04/05/2019,,Valenzuela PLC,Wilson Group,2069.23,188.11,3,2069.23
batch1_1,61527431,08/24/2016,,Mckay Inc,"Gilbert, Guerrero and Johnson",10319.10,938.10,2,10319.1
batch1_1,10737107,07/20/2012,,"Thompson, Evans and Parker",Harrison LLC,66.99,6.09,2,66.99
batch1_1,24342647,05/07/2020,,"Davis, Evans and Cooper",Stephens-Goodman,"4 524,28","411,30",3,452428.0
batch1_1,23993628,05/29/2012,,Campos LLC,Contreras-Torres,"125,23","11,38",1,12523.0
batch1_1,58805260,03/07/2019,,Murray-Parsons,"James, Johnson and Martin",6004.31,545.85,3,6004.31
batch1_1,25078556,01/09/2015,,Valencia-Pearson,Lambert PLC,1330.04,120.91,7,1330.04
batch1_1,55623924,03/13/2015,,Johns-Brown,Lopez Inc,5213.90,473.99,3,5213.9
batch1_1,12323459,08/04/2013,,"Wright, Gonzalez and Gomez",Moore-Scott,81.68,7.43,1,81.68
batch1_1,91781923,03/09/2013,,Barry-Roberts,Lopez PLC,6 198.39,563.49,3,6198.39
batch1_1,12459784,08/19/2020,,"Smith, Johnson and Ramsey",Russell-Cruz,162.79,14.80,6,162.79
batch1_1,44195807,07/09/2014,,Costa Inc,Weaver-Russell,19.22,1.75,4,19.22
batch1_1,77513425,02/12/2021,,Wang and Sons,"Rogers, Fitzpatrick and Salazar",346.19,31.47,4,346.19
batch1_1,74583312,05/05/2015,,Williams Ltd,Gross PLC,697.80,63.44,7,697.8
batch1_1,49900465,12/23/2014,,Fleming and Sons,"Green, Benson and Clark",205.21,18.66,1,205.21
batch1_1,67095041,12/14/2018,,"Wade, Scott and Glover","Bernard, Welch and Freeman",87.96,8.00,1,87.96
batch1_1,82786776,09/26/2018,,Skinner-Molina,Brown Ltd,162.72,14.79,4,162.72
batch1_1,61782695,05/15/2017,,"Anderson, Brown and Thompson","Silva, Warren and York",73 824.49,6 711.32,7,73824.49
batch1_1,48844293,10/31/2020,,Carter-Carroll,Hansen-Barrett,4 306.26,391.48,5,4306.26
batch1_1,73783721,10/22/2011,,"Wood, Nichols and Perry",Moore-Banks,43.95,4.00,2,43.95
batch1_1,13407985,11/22/2013,,"Nicholson, Miller and Webster",Mccormick and Sons,5459.75,496.34,4,5459.75
batch1_1,36985569,12/07/2015,,Martinez PLC,Williams-Reid,99.00,9.00,1,99.0
batch1_1,68094256,02/18/2016,,Johnson LLC,Briggs Inc,"3 221,63","292,88",2,322163.0
batch1_1,88628178,07/18/2012,,"Stone, Fernandez and Swanson","Johnson, Newman and Nelson",1660.86,150.99,4,1660.86
batch1_1,29515593,03/21/2021,,"Thompson, Jackson and Ware",Foster-Nelson,330.29,30.03,7,330.29
batch1_1,95296819,06/19/2011,,"Wright, Pineda and Walker",Benjamin-Aguilar,17711.25,1610.11,7,17711.25
batch1_1,10942693,06/13/2018,,Coleman Inc,Lopez-Garcia,21151.66,1922.88,3,21151.66
batch1_1,22393723,05/22/2018,,Henderson Group,Brown-Taylor,235.79,21.44,3,235.79
batch1_1,37575831,08/27/2017,,Mcbride-Smith,Kelly LLC,205.29,18.66,6,205.29
batch1_1,50712639,01/10/2021,,"Smith, Blackburn and Barton",Harris-Barrera,"208,50","18,95",2,20850.0
batch1_1,52701374,06/29/2018,,Daniel Group,"Sheppard, Snyder and Solomon",104.97,9.54,2,104.97
batch1_1,36051373,04/07/2015,,"Cervantes, Carpenter and Morse","Holland, Lee and Kline",10818.95,983.54,5,10818.95
batch1_1,87454899,01/18/2014,,Brown and Sons,Flores and Sons,274.95,25.00,1,274.95
batch1_1,73459321,11/19/2013,,"Hernandez, English and Yoder","Manning, Parker and Fleming",495.30,45.03,7,495.3
batch1_1,54661411,07/29/2020,,Fitzgerald Group,Powell-Floyd,7 920.58,720.05,7,7920.58
batch1_1,57416834,10/14/2020,,Hicks-Miller,Mcbride-Romero,74 294.55,6 754.05,5,74294.55
batch1_1,64809205,08/18/2014,,Miller Inc,"Mason, Melton and Matthews",716.27,65.12,6,716.27
batch1_1,23995139,05/30/2015,,Day and Sons,"Phillips, Burton and Mcdaniel","93 439,30","8 494,48",5,9343930.0
batch1_1,85303612,07/08/2016,,Dixon-Hebert,Stewart-Faulkner,2 149.21,195.38,7,2149.21
batch1_1,51508002,05/19/2015,,Walker LLC,Joseph PLC,414.67,37.70,3,414.67
batch1_1,87934175,10/19/2016,,Horne-Fields,French-Sullivan,107.78,9.80,2,107.78
batch1_1,41290662,08/31/2014,,"Steele, Trujillo and Becker",Hernandez PLC,"386,05","35,10",6,38605.0
batch1_1,27166082,09/29/2020,,Webb-Oconnor,"Jones, Anderson and Santana",15803.26,1436.66,6,15803.26
batch1_1,32830026,12/20/2014,,"George, Casey and Harris","Stewart, Fields and Scott",1140.24,103.66,5,1140.24
batch1_1,51594396,12/10/2016,,Ford Ltd,Duffy-Lawrence,"5 553,00","504,82",7,555300.0
batch1_1,45904441,02/14/2019,,"Raymond, Mejia and Thomas","Martin, Wright and Mccarty","633,96","57,63",5,63396.0
batch1_1,92554836,05/09/2016,,Oneill LLC,"Hawkins, Gomez and Moon",74.80,6.80,3,74.8
batch1_1,31838082,10/19/2013,,"Howe, Evans and Velazquez","Lewis, Hansen and Martin",191.76,17.43,3,191.76
batch1_1,11580833,11/24/2019,,"Wood, Simpson and Summers",Tapia LLC,5138.35,467.12,7,5138.35
batch1_1,39571754,07/03/2013,,"Hernandez, Barber and Jones",Hall-Skinner,"7 645,22","695,02",5,764522.0
batch1_1,63959029,09/29/2020,,Tapia-Cline,Arroyo-Cobb,"47 600,71","4 327,34",3,4760071.0
batch1_1,54329016,01/18/2012,,Brooks Inc,Davis-Greene,1022.88,92.99,2,1022.88
batch1_1,99454334,07/08/2017,,Jones-Silva,Stafford and Sons,"105,60","9,60",1,10560.0
batch1_1,76778037,03/15/2021,,Wilson-Todd,Smith and Sons,759.03,69.00,5,759.03
batch1_1,22083742,03/01/2014,,"Smith, Schaefer and Gonzalez",Smith-Petersen,7 920.00,720.00,1,7920.0
batch1_1,94067363,03/21/2017,,"Stafford, Reynolds and Hood",Vazquez-Tucker,148.44,13.49,1,148.44
batch1_1,39912751,12/27/2018,,Friedman-Williams,"Kennedy, Johnson and Evans","56 295,35","5 117,76",4,5629535.0
batch1_1,47486295,05/24/2021,,Small Inc,Curtis-Wiggins,"907,40","82,49",7,90740.0
batch1_1,13187294,10/08/2013,,"Cook, Schwartz and Phillips",Lopez Group,111.00,10.09,3,111.0
batch1_1,94786467,11/19/2013,,Campbell-Thomas,Gordon PLC,"8 479,08","770,83",5,847908.0
batch1_1,41250328,08/25/2017,,"Williams, Brown and Mcmillan",George-Johnson,891.00,81.00,1,891.0
batch1_1,44456646,03/21/2015,,Austin and Sons,"Delacruz, Hinton and Mckinney","316,10","28,74",5,31610.0
batch1_1,90834323,07/27/2011,,George and Sons,"Burgess, Hoover and Ho",47.77,4.34,3,47.77
batch1_1,38173030,12/17/2018,,Short-Dixon,"Smith, Hebert and Smith",6208.38,564.40,2,6208.38
batch1_1,32530472,08/27/2015,,Cooper-Fox,Williams-Lucero,187.00,17.00,1,187.0
batch1_1,36033621,04/18/2017,,Walton PLC,Mitchell and Sons,243.71,22.16,2,243.71
batch1_1,36187296,01/05/2017,,"Lopez, Murray and Johnston",White Ltd,518.80,47.16,6,518.8
batch1_1,74589240,12/08/2013,,Hall-Boyd,Haas and Sons,"12 973,88",1 179.44,4,1297388.0
batch1_1,58379529,05/31/2011,,"Dalton, Chambers and Howard",Tanner Inc,2 934.70,266.79,3,2934.7
batch1_1,33270121,10/03/2019,,"Cross, Pearson and Murillo","Francis, Baker and Nunez",10.94,0.99,1,10.94
batch1_1,34967709,01/16/2018,,"Burns, King and Serrano",Bryant-Wall,549.98,50.00,1,549.98
batch1_1,16773532,04/30/2020,,"White, Young and Johnson","Wheeler, Lopez and Watts",5 411.82,491.98,3,5411.82
batch1_1,63028625,02/19/2019,,"Cummings, Lynn and Moran",Barker LLC,"2 298,90","208,99",3,229890.0
batch1_1,18001647,03/21/2013,,Jones-Morris,Boyle-Bowman,39.51,3.59,2,39.51
batch1_1,32283117,11/05/2015,,Chapman-Johnson,Diaz and Sons,"73,76","6,71",4,7376.0
batch1_1,97388190,12/13/2016,,Cook Ltd,Pierce Inc,"329,84",29.99,1,32984.0
batch1_1,85930211,08/02/2012,,"Torres, Martin and Robinson",Jackson Group,24 038.28,2 185.30,5,24038.28
batch1_1,11724045,04/09/2019,,"Swanson, Garza and Snyder",Alvarado-Patel,1100.73,100.07,6,1100.73
batch1_1,37107781,07/29/2012,,Williamson-Hernandez,Lee-Burnett,2 804.92,254.99,2,2804.92
batch1_1,62472177,11/27/2018,,Crosby-Cox,Anderson-Scott,"81 508,24","7 409,84",2,8150824.0
batch1_1,61660848,05/30/2019,,"Gardner, Tucker and Martinez",Robbins Group,26.53,2.41,1,26.53
batch1_1,77015917,12/21/2017,,Poole-Boyle,"Ray, Hurst and Cruz",109.94,9.99,1,109.94
batch1_1,71439588,02/08/2021,,Clayton LLC,Bailey-Adams,241.95,22.00,1,241.95
batch1_1,96382825,05/03/2018,,"Cain, Thomas and Best",Howard Ltd,"17 672,06","1 606,55",1,1767206.0
batch1_1,80871648,02/18/2013,,Yang-Pierce,Wilson-Martinez,200.40,18.22,2,200.4
batch1_1,97830664,09/04/2015,,Bell LLC,Walls Group,12 543.64,1 140.33,5,12543.64
batch1_1,71490900,11/01/2013,,Hurst Ltd,Williams LLC,"1 704,45","154,95",2,170445.0
batch1_1,24826419,08/12/2018,,Herrera PLC,Vincent-Crawford,16.45,1.50,1,16.45
batch1_1,24417396,03/02/2012,,Anderson-Garcia,Adkins Inc,3153.58,286.69,5,3153.58
batch1_1,85765662,04/22/2017,,Fisher PLC,"Meyer, Lambert and Smith",108.06,9.82,3,108.06
batch1_1,23385207,06/23/2012,,Peterson LLC,"Williams, Yang and Jackson",264.00,24.00,1,264.0
batch1_1,48765740,06/22/2017,,Avila Inc,Bowman-Davis,631.99,57.45,7,631.99
batch1_1,72024579,01/25/2021,,Green-Snow,"Fernandez, Allison and Rodriguez","179,75","16,34",7,17975.0
batch1_1,49153414,03/25/2019,,Ingram-Mcclain,Owen Inc,51 998.08,4 727.10,5,51998.08
batch1_1,30231187,07/22/2011,,"Smith, Johnson and Cannon",Sanchez-Wilson,142.90,12.99,3,142.9
batch1_1,44534369,07/05/2017,,Davis-Reyes,Burns-Hammond,11 880.00,1 080.00,1,11880.0
batch1_1,87588849,07/05/2016,,"Byrd, Gould and Hill",West-Byrd,486.60,44.24,3,486.6
batch1_1,96569585,04/17/2020,,"Walker, Andrews and Leblanc",Meadows-Young,274.42,24.95,3,274.42
batch1_1,37877758,07/02/2014,,Holmes-Whitney,"Jordan, Jones and Rodriguez",47320.32,4301.85,5,47320.32
batch1_1,72196558,05/06/2013,,Watson PLC,Bell-Newman,126.90,11.54,3,126.9
batch1_1,48531206,08/03/2019,,Rodriguez-Barnett,"Le, Lawson and Rios",6 146.70,558.79,7,6146.7
batch1_1,52316398,06/03/2012,,Moore-Hughes,English Inc,11633.66,1057.61,5,11633.66
batch1_1,37066060,05/07/2019,,Fisher LLC,Nixon Ltd,1759.88,159.99,3,1759.88
batch1_1,60022910,03/21/2018,,Burch PLC,Robinson-Osborne,19.77,1.80,1,19.77
