file_name,amount,seq
batch1-0516,395.25,327
batch1-0527,409.13,328
batch1-0974,3098.57,329
batch1-0261,21467.33,330
batch1-0438,76.99,331
batch1-0180,205.5,332
batch1-1370,480.36,333
batch1-1129,1451.91,334
batch1-0380,18749.5,335
batch1-0443,6.38,336
batch1-1031,323.84,337
batch1-1268,904.66,338
batch1-0189,5900.59,339
batch1-1220,7052.49,340
batch1-0221,125.23,341
batch1-0823,320.94,342
batch1-0929,614.05,343
batch1-0507,4304.03,344
batch1-0973,8679.0,345
batch1-0799,159.8,346
batch1-1449,270.94,347
batch1-1405,1330.97,348
batch1-1177,4237.17,349
batch1-1168,18230.85,350
batch1-0311,122.12,351
batch1-0408,328.42,352
batch1-0199,1023.94,353
batch1-0828,1658.25,354
batch1-0769,64774.93,355
batch1-0081,1.71,356
batch1-0013,237.29,357
batch1-1136,961.36,358
batch1-0789,5274.36,359
batch1-0495,137354.02,360
batch1-0257,25.5,361
batch1-0671,279.36,362
batch1-0928,606.66,363
batch1-0021,4958.16,364
batch1-0750,18710.63,365
batch1-0660,94.58,366
batch1-0708,272.73,367
batch1-0316,428.9,368
batch1-0370,4140.06,369
batch1-0911,7110.4,370
batch1-1243,44.85,371
batch1-0712,285.98,372
batch1-1054,640.15,373
batch1-1216,2655.37,374
batch1-0688,10560.0,375
batch1-0255,103.92,376
batch1-0254,181.34,377
batch1-0233,631.99,378
batch1-0156,1704.45,379
batch1-0291,9645.88,380
batch1-1154,19.22,381
batch1-0520,208.98,382
batch1-0978,934.31,383
batch1-0214,5371.27,384
batch1-0779,12074.79,385
batch1-1067,5.45,386
batch1-1157,255.31,387
batch1-0782,703.96,388
batch1-0071,1731.35,389
batch1-0062,84314.78,390
batch1-1408,81.33,391
batch1-1155,172.71,392
batch1-0693,759.11,393
batch1-0385,5255.87,394
batch1-0756,7433.21,395
batch1-0821,135.62,396
batch1-1446,212.09,397
batch1-0490,689.19,398
batch1-0267,5289.89,399
batch1-0360,33972.73,400
batch1-0293,12.76,401
batch1-1398,329.91,402
batch1-0106,465.17,403
batch1-0938,2348.08,404
batch1-0335,106498.92,405
batch1-1321,107.09,406
batch1-0396,337.45,407
batch1-0943,749.99,408
batch1-1391,4420.79,409
batch1-1320,8332.5,410
batch1-1415,115.68,411
batch1-0887,257.19,412
batch1-0819,720.57,413
batch1-0904,2900.15,414
batch1-0675,10153.76,415
batch1-0841,64.67,416
batch1-0906,391.55,417
batch1-1017,412.36,418
batch1-1487,5701.08,419
batch1-0343,17529.89,420
batch1-0997,109.96,421
batch1-0483,205.29,422
batch1-0125,1084.56,423
batch1-0818,3619.5,424
batch1-0820,16830.0,425
batch1-0473,19.76,426
batch1-1133,274.88,427
batch1-0056,494.89,428
batch1-0915,4640.5,429
batch1-1440,149105.43,430
batch1-0701,156.05,431
batch1-0721,214.24,432
batch1-1478,659.98,433
batch1-0372,5301.89,434
batch1-0248,11633.66,435
batch1-1387,159.95,436
batch1-1192,295.55,437
batch1-1248,665.43,438
batch1-0268,3129.42,439
batch1-0308,23988.86,440
batch1-0761,10.76,441
batch1-0575,335.17,442
batch1-1427,646.8,443
batch1-0541,5332.92,444
batch1-0732,81661.14,445
batch1-0333,137.5,446
batch1-0476,330.29,447
batch1-1288,474.02,448
batch1-0395,2388.93,449
batch1-1265,63240.53,450
batch1-0461,48.14,451
batch1-0159,386.05,452
batch1-0450,524.67,453
batch1-1014,5906.47,454
batch1-0663,41419.4,455
batch1-1121,76.98,456
batch1-0783,309.1,457
batch1-1306,999.22,458
batch1-0804,4174.28,459
batch1-1120,11880.0,460
batch1-0326,155.98,461
batch1-1078,394.34,462
batch1-0236,1100.73,463
batch1-1354,4268.89,464
batch1-0215,88976.98,465
batch1-0740,159.74,466
batch1-1389,274.13,467
batch1-0896,978.64,468
batch1-0551,1869.98,469
batch1-1035,12267.2,470
batch1-0053,73.76,471
batch1-0413,346.19,472
batch1-1214,434.42,473
batch1-1239,1966.71,474
batch1-0405,17108.96,475
batch1-1314,101.07,476
batch1-0687,165.66,477
batch1-0327,792.1,478
batch1-1217,3714.5,479
batch1-0664,76534.92,480
batch1-0739,68.16,481
batch1-0488,172.26,482
batch1-0253,1324.32,483
batch1-0110,1669.75,484
batch1-0105,70577.35,485
batch1-0363,21.45,486
batch1-0082,371.51,487
batch1-1337,575.49,488
batch1-1191,3827.98,489
batch1-0899,26677.2,490
batch1-0727,27.13,491
batch1-0034,373.98,492
batch1-0499,498.21,493
batch1-0417,1660.86,494
batch1-1396,29543.09,495
batch1-0130,66.99,496
batch1-0694,344.13,497
batch1-0129,891.0,498
batch1-0331,1773.75,499
batch1-0357,61189.67,500
batch1-0509,49.9,501
batch1-0112,178.83,502
batch1-1309,940.5,503
batch1-0882,2188.91,504
batch1-1038,9103.46,505
batch1-1263,22.0,506
batch1-0340,269.49,507
batch1-1368,1234.2,508
batch1-0113,4416.24,509
batch1-1486,38086.73,510
batch1-0744,20.34,511
batch1-1322,270.64,512
batch1-1461,833.7,513
batch1-0942,3933.72,514
batch1-1170,92902.69,515
batch1-1164,44.0,516
batch1-0359,362.27,517
batch1-0477,1028.36,518
batch1-1300,2953.35,519
batch1-1098,16691.02,520
batch1-0407,22.0,521
batch1-0894,382.98,522
batch1-0889,1080.08,523
batch1-0074,4151.23,524
batch1-1233,41306.81,525
batch1-0128,63.32,526
batch1-1378,271.12,527
batch1-0543,433.86,528
batch1-1092,3120.51,529
batch1-1425,58507.0,530
batch1-1293,131.98,531
batch1-0941,176.0,532
batch1-0553,778.49,533
batch1-1062,5034.62,534
batch1-1235,20437.73,535
batch1-0111,10.94,536
batch1-0285,200.4,537
batch1-0930,471.15,538
batch1-0402,6004.31,539
batch1-0239,7269.8,540
batch1-1042,4.36,541
batch1-0725,292.4,542
batch1-1044,569.69,543
batch1-1458,5322.08,544
batch1-0907,48416.63,545
batch1-1153,76.96,546
batch1-0307,228.1,547
batch1-1012,962.46,548
batch1-0404,4695.01,549
batch1-1241,45653.41,550
batch1-0898,15.36,551
batch1-0513,225.19,552
batch1-0132,714.95,553
batch1-0655,2782.39,554
batch1-0479,9145.62,555
batch1-0241,60.45,556
batch1-1345,391.59,557
batch1-0058,470.92,558
batch1-0749,4949.95,559
batch1-1016,46910.41,560
batch1-1409,142.02,561
batch1-0662,249.68,562
batch1-1327,572.0,563
batch1-0224,6140.09,564
batch1-0730,69138.73,565
batch1-0198,39.51,566
batch1-0094,394.19,567
batch1-1237,454.72,568
batch1-0362,3393.4,569
batch1-1437,11032.05,570
batch1-1285,148.19,571
batch1-0945,403.25,572
batch1-0344,889.76,573
batch1-0984,2977.67,574
batch1-1070,26577.76,575
batch1-0741,27.5,576
batch1-0867,201.06,577
batch1-0982,819.69,578
batch1-0722,2012.51,579
batch1-1202,14737.18,580
batch1-1390,16.5,581
batch1-0375,277.89,582
batch1-0923,680.34,583
batch1-0101,5439.26,584
batch1-0827,32042.55,585
batch1-0785,60.49,586
batch1-0429,261.41,587
batch1-0164,538.73,588
batch1-0937,4949.18,589
batch1-0403,32625.33,590
batch1-0087,6.58,591
batch1-0746,267.69,592
batch1-0458,467.17,593
batch1-0271,1843.4,594
batch1-1482,35563.37,595
batch1-0166,36.33,596
batch1-0870,302.39,597
batch1-1043,1186.57,598
batch1-0842,4146.5,599
batch1-0529,65395.63,600
batch1-0275,120.62,601
batch1-0153,232.16,602
batch1-0322,415.69,603
batch1-0282,2298.9,604
batch1-0913,6874.44,605
batch1-1203,19.77,606
batch1-0877,345.74,607
batch1-1340,1255.17,608
batch1-1108,3013.9,609
batch1-0349,7645.22,610
batch1-0211,142.9,611
batch1-1336,169.37,612
batch1-1116,1165.9,613
batch1-0171,1620.38,614
batch1-0029,7920.58,615
batch1-1286,59.32,616
batch1-1361,396.0,617
batch1-0707,1054.1,618
batch1-0350,3901.63,619
batch1-0729,51803.01,620
batch1-0240,126.9,621
batch1-0803,177.76,622
batch1-1407,428.83,623
batch1-1110,2601.39,624
batch1-1020,18561.36,625
batch1-1008,20.72,626
batch1-0135,274.95,627
batch1-0968,569.21,628
batch1-0051,2237.95,629
batch1-0227,46215.06,630
batch1-1088,119.87,631
batch1-0505,388.63,632
batch1-1174,450.54,633
batch1-1194,4254.39,634
batch1-0008,12973.88,635
batch1-0328,97.76,636
batch1-0985,395.96,637
batch1-0048,529.78,638
batch1-1135,3074.95,639
batch1-1373,43523.4,640
batch1-0956,4.36,641
batch1-1061,398.16,642
batch1-1127,686.75,643
batch1-0958,3948.95,644
batch1-0352,18863.63,645
batch1-0420,156.45,646
batch1-1334,274.18,647
batch1-1477,428.35,648
batch1-0467,2149.21,649
batch1-0431,22660.0,650
batch1-1179,162.35,651
batch1-1264,177.1,652
batch1-1466,661.64,653
batch1-1255,1722.39,654
batch1-1318,7425.0,655
batch1-0759,131.94,656
batch1-0946,397.96,657
batch1-0437,1037.38,658
batch1-0339,6146.7,659
batch1-1270,7589.84,660
batch1-0184,150.19,661
batch1-0432,191.57,662
batch1-1467,691.06,663
batch1-0229,5101.77,664
batch1-1172,12119.61,665
batch1-1353,47.37,666
batch1-0844,270.28,667
batch1-0353,561.7,668
batch1-0015,1469.45,669
batch1-0131,74294.55,670
batch1-0738,51.4,671
batch1-1295,182.15,672
batch1-0795,650.67,673
batch1-0278,2843.46,674
batch1-0822,30588.8,675
batch1-0216,47.28,676
batch1-0832,222.58,677
batch1-0321,457.91,678
batch1-1205,2015.04,679
batch1-0780,7876.46,680
batch1-1201,139.39,681
batch1-1476,296.02,682
batch1-0116,1028.39,683
batch1-1401,4356.0,684
batch1-0961,36651.71,685
batch1-0728,75.61,686
batch1-0057,389.0,687
batch1-0470,823.66,688
batch1-0568,2347.3,689
batch1-1058,73920.0,690
batch1-0865,65.45,691
batch1-0487,259.96,692
batch1-0814,574.51,693
batch1-0743,4916.88,694
batch1-0967,48517.63,695
batch1-0696,148.5,696
batch1-1147,169.34,697
batch1-0091,551.54,698
batch1-1152,2200.0,699
batch1-0228,37016.78,700
batch1-0067,21.56,701
batch1-1282,230.63,702
batch1-0875,458.96,703
batch1-0926,5888.8,704
batch1-0149,10865.23,705
batch1-0874,65.97,706
batch1-0019,188.11,707
batch1-0451,916.21,708
batch1-1005,3085.5,709
batch1-1272,61568.5,710
batch1-1292,126.23,711
batch1-1091,165.0,712
batch1-0699,421.25,713
batch1-0232,5553.0,714
batch1-0258,44630.49,715
batch1-0838,78.54,716
batch1-1004,231.39,717
batch1-0515,500.87,718
batch1-1208,6645.73,719
batch1-0480,9809.8,720
batch1-1419,42.68,721
batch1-0567,330.0,722
batch1-0773,1138.5,723
batch1-0002,6860.45,724
batch1-0123,8621.78,725
batch1-0295,43.96,726
batch1-1256,282.82,727
batch1-0325,833.12,728
batch1-0559,3640.86,729
batch1-0234,51823.31,730
batch1-1485,61.42,731
batch1-0315,324.5,732
batch1-1277,461.26,733
batch1-0534,1869.93,734
batch1-1206,35697.02,735
batch1-0044,81.68,736
batch1-1259,397.29,737
batch1-1360,559.89,738
batch1-0808,1509.64,739
batch1-0138,73824.49,740
batch1-1007,136.13,741
batch1-1065,323.11,742
batch1-0998,748.24,743
batch1-0996,2521.04,744
batch1-1073,47168.59,745
batch1-1448,147.13,746
batch1-1326,228.44,747
batch1-0059,1255.0,748
batch1-1468,2259.1,749
batch1-1209,26591.16,750
batch1-0222,47.77,751
batch1-1339,374.0,752
batch1-0995,891.0,753
batch1-0668,3625.57,754
batch1-0444,12955.61,755
batch1-0888,51.7,756
batch1-1246,234.4,757
batch1-0986,572.0,758
batch1-1333,6214.89,759
batch1-0535,42668.81,760
batch1-0528,87.99,761
batch1-0016,316.1,762
batch1-1399,411.18,763
batch1-0103,6097.29,764
batch1-0399,49665.33,765
batch1-0014,24.95,766
batch1-1087,354.15,767
batch1-1106,432.22,768
batch1-0751,4801.45,769
batch1-0453,29087.53,770
batch1-1488,129.53,771
batch1-0860,280.5,772
batch1-0517,504.69,773
batch1-0309,5989.26,774
batch1-0273,107680.75,775
batch1-0540,98.76,776
batch1-0466,377.52,777
batch1-1258,716.43,778
batch1-0068,2779.7,779
batch1-1211,12261.98,780
batch1-0953,117.6,781
batch1-1145,167.57,782
batch1-0852,672.08,783
batch1-0284,2194.5,784
batch1-0980,7328.87,785
batch1-1457,66.0,786
batch1-0526,377.05,787
batch1-0989,1161.01,788
batch1-0815,2188.73,789
batch1-0256,47502.39,790
batch1-0672,160.08,791
batch1-0040,191.26,792
batch1-0931,544.46,793
batch1-0085,2970.0,794
batch1-0720,34222.84,795
batch1-0095,32.95,796
batch1-0472,194.82,797
batch1-1278,789.2,798
batch1-0064,5411.82,799
batch1-0178,51998.08,800
batch1-1454,26.75,801
batch1-0419,365.13,802
batch1-1022,628.0,803
batch1-0187,5283.18,804
batch1-0736,8210.37,805
batch1-0247,9.35,806
batch1-0356,264.0,807
batch1-0086,1237.5,808
batch1-0151,3838.87,809
batch1-1431,13615.89,810
batch1-1189,117.7,811
batch1-1085,223.01,812
batch1-0220,486.6,813
batch1-0354,3805.63,814
batch1-1424,106081.93,815
batch1-0276,89.06,816
batch1-0754,302.58,817
batch1-1149,527.95,818
batch1-0118,3717.66,819
batch1-0243,19347.41,820
batch1-0351,109.94,821
batch1-0706,228.71,822
batch1-0314,880.89,823
batch1-1213,2850.93,824
batch1-1253,17124.42,825
batch1-1238,61.51,826
batch1-0078,312.93,827
batch1-0983,1332.32,828
batch1-0519,4713.34,829
batch1-0667,18165.14,830
batch1-0908,9.0,831
batch1-1083,305.57,832
batch1-0777,1133.54,833
batch1-0168,2511.2,834
batch1-0723,36946.22,835
batch1-0158,96.73,836
batch1-1410,205.81,837
batch1-0573,919.52,838
batch1-1279,2807.08,839
batch1-0195,47600.71,840
batch1-1059,127.0,841
batch1-0658,368.47,842
batch1-0369,716.27,843
batch1-0097,6208.38,844
batch1-0695,26660.87,845
batch1-0691,90.67,846
batch1-1438,272.65,847
batch1-0366,697.8,848
batch1-0916,6236.91,849
batch1-0805,13986.35,850
batch1-1436,21.52,851
batch1-0927,165.94,852
batch1-0464,633.96,853
batch1-1182,1593.58,854
batch1-1459,75351.02,855
batch1-0192,120.99,856
batch1-0330,389.27,857
batch1-0391,1026.71,858
batch1-0784,5312.84,859
batch1-1230,58523.19,860
batch1-0416,76.98,861
batch1-0478,387.11,862
batch1-1142,1025.61,863
batch1-0714,3567.15,864
batch1-1462,39000.6,865
batch1-0009,124.79,866
batch1-0957,264.09,867
batch1-1276,455.68,868
batch1-0209,6594.14,869
batch1-0365,19084.92,870
batch1-1011,1.99,871
batch1-0532,212.2,872
batch1-0511,682.0,873
batch1-0422,5857.51,874
batch1-0176,56295.35,875
batch1-1228,87.07,876
batch1-0900,397.51,877
batch1-1472,440.0,878
batch1-0203,3187.64,879
batch1-1315,54704.84,880
batch1-0378,131.92,881
batch1-1097,330.0,882
batch1-1003,1369.5,883
batch1-0661,1576.9,884
batch1-1475,6935.91,885
batch1-0508,65.78,886
batch1-0212,178.16,887
batch1-1064,648.93,888
batch1-1433,4729.96,889
batch1-0032,21151.66,890
batch1-1232,71.06,891
batch1-0020,327.08,892
batch1-1028,462.97,893
batch1-0338,3674.52,894
batch1-0389,15096.06,895
batch1-1095,98.96,896
batch1-0919,295.44,897
batch1-1400,555.37,898
batch1-0445,1770.9,899
batch1-0304,8377.33,900
batch1-1227,82.49,901
batch1-0412,284.86,902
batch1-1455,797.23,903
batch1-1196,3139.95,904
batch1-1352,8470.63,905
batch1-0966,160.33,906
batch1-0557,235.92,907
batch1-0765,978.12,908
batch1-1404,3057.69,909
batch1-0970,35572.0,910
batch1-1291,50.85,911
batch1-0555,222.3,912
batch1-1188,879.95,913
batch1-0411,4306.26,914
batch1-0518,124743.65,915
batch1-0382,112.13,916
batch1-0104,353.66,917
batch1-0878,475.75,918
batch1-0571,2260.5,919
batch1-0042,15574.11,920
batch1-0246,148.44,921
batch1-0409,329.83,922
batch1-1107,645.56,923
batch1-0038,2022.82,924
batch1-0386,40507.41,925
batch1-1324,64.72,926
batch1-0017,401.88,927
batch1-0400,414.67,928
batch1-0886,1665.4,929
batch1-1343,66614.44,930
batch1-1406,74.76,931
batch1-0673,211.57,932
batch1-0940,1143.66,933
batch1-1367,2750.0,934
batch1-0207,19208.48,935
batch1-0879,97.75,936
batch1-1037,272.47,937
batch1-0652,421.25,938
batch1-0678,3707.1,939
batch1-0825,95556.75,940
batch1-0537,79.53,941
batch1-0072,324.5,942
batch1-0976,549.98,943
batch1-0251,1438.21,944
batch1-1221,35342.91,945
batch1-0460,64.99,946
batch1-1308,293.4,947
batch1-0109,986.7,948
batch1-0305,1656.47,949
batch1-0318,39974.41,950
batch1-0066,1.99,951
batch1-0313,323.14,952
batch1-0319,593.2,953
batch1-1305,5873.9,954
batch1-1117,7598.61,955
batch1-0262,2.18,956
batch1-0346,190.62,957
batch1-1313,1113.15,958
batch1-1156,2529.57,959
batch1-1388,42402.27,960
batch1-0489,153.92,961
batch1-1015,330.0,962
batch1-0306,1330.04,963
batch1-0871,6220.32,964
batch1-0364,26329.42,965
batch1-0709,116.52,966
batch1-1328,327.53,967
batch1-1219,454.74,968
batch1-0498,2446.21,969
batch1-0786,20871.27,970
batch1-0484,66.0,971
batch1-0183,241.95,972
batch1-0700,567.55,973
batch1-1432,2823.64,974
batch1-1489,34397.78,975
batch1-0098,1.99,976
batch1-0418,274.45,977
batch1-0193,1349.08,978
batch1-0347,2099.42,979
batch1-1430,16179.9,980
batch1-1383,37.55,981
batch1-0280,203.19,982
batch1-0774,640.12,983
batch1-0145,6198.39,984
batch1-1045,20710.8,985
batch1-0137,44.0,986
batch1-0160,281.25,987
batch1-1444,835.99,988
batch1-1307,4952.82,989
batch1-1052,79238.76,990
batch1-0524,36.03,991
batch1-0531,351.97,992
batch1-0971,488.7,993
batch1-0455,4008.74,994
batch1-1348,14531.03,995
batch1-1351,62.46,996
batch1-0069,162.79,997
batch1-1372,879.73,998
batch1-0423,5597.66,999
batch1-0440,8210.08,1000
batch1-0288,1.09,1001
batch1-1190,174.52,1002
batch1-0539,489.38,1003
batch1-1460,2804.66,1004
batch1-1296,53572.82,1005
batch1-1001,32.97,1006
batch1-0355,266.11,1007
batch1-0235,418.84,1008
batch1-1363,2378.99,1009
batch1-0659,25346.42,1010
batch1-0063,154.0,1011
batch1-0807,335.04,1012
batch1-1302,1128.35,1013
batch1-0775,2425.87,1014
batch1-0242,19189.78,1015
batch1-0272,129.6,1016
batch1-1429,314.62,1017
batch1-0206,731.23,1018
batch1-0689,1576.18,1019
batch1-0762,52466.15,1020
batch1-1002,37.38,1021
batch1-0371,329.99,1022
batch1-0361,997.37,1023
batch1-0748,1523.45,1024
batch1-0485,14317.42,1025
batch1-0787,120.51,1026
batch1-1412,306.51,1027
batch1-1357,552.19,1028
batch1-1392,3002.98,1029
batch1-0022,47320.32,1030
batch1-0252,25.15,1031
batch1-0702,361.91,1032
batch1-1084,521.64,1033
batch1-0726,1767.34,1034
batch1-0715,37153.67,1035
batch1-0959,65.29,1036
batch1-0287,204.27,1037
