model,file_name,char_sim,tok_recall,tok_precision,num_recall,num_precision,bag_tok_recall,bag_num_recall,bag_num_precision,n_tok_ans,n_num_ans
granite,batch1-1132,76.48,74.16,71.74,66.0,67.35,97.75,80.0,81.63,178,50
granite,batch1-0757,72.52,72.46,71.94,56.76,60.0,97.83,81.08,85.71,138,37
granite,batch1-1484,67.51,63.4,62.99,24.0,26.67,96.08,74.0,82.22,153,50
granite,batch1-1124,74.86,73.0,73.74,66.67,71.43,97.0,83.33,89.29,100,30
granite,batch1-1453,77.31,78.45,76.47,62.86,56.41,96.55,80.0,71.79,116,35
granite,batch1-1134,81.41,75.0,82.42,66.67,71.43,87.0,73.33,78.57,100,30
granite,batch1-1297,78.98,72.58,80.36,60.61,76.92,86.29,60.61,76.92,124,33
granite,batch1-0134,76.07,70.66,72.39,62.79,67.5,93.41,79.07,85.0,167,43
paddle,batch1-0182,80.27,82.08,79.82,70.0,70.0,94.34,73.33,73.33,106,30
paddle,batch1-1294,78.5,77.78,75.68,71.43,66.67,96.3,82.14,76.67,108,28
paddle,batch1-1100,80.66,80.17,80.17,65.79,65.79,95.69,81.58,81.58,116,38
paddle,batch1-0345,73.83,75.88,75.44,62.75,60.38,95.29,76.47,73.58,170,51
paddle,batch1-1375,73.46,70.83,70.0,62.5,63.83,95.24,77.08,78.72,168,48
paddle,batch1-0474,80.09,77.78,77.06,77.78,77.78,98.15,85.19,85.19,108,27
paddle,batch1-1224,79.08,79.73,78.15,72.5,72.5,95.95,77.5,77.5,148,40
paddle,batch1-0572,75.78,74.57,72.88,63.04,63.04,97.11,76.09,76.09,173,46
paddle,batch1-0475,69.85,69.59,67.84,50.85,52.63,94.33,62.71,64.91,194,59
paddle,batch1-1480,68.05,70.65,68.78,57.89,55.93,95.11,78.95,76.27,184,57
paddle,batch1-0742,81.84,79.0,79.0,68.97,71.43,96.0,79.31,82.14,100,29
paddle,batch1-0884,86.3,87.18,86.08,82.61,76.0,100.0,95.65,88.0,78,23
paddle,batch1-0864,77.06,76.47,75.66,65.31,69.57,97.33,71.43,76.09,187,49
paddle,batch1-1165,72.88,70.35,69.54,60.38,56.14,94.77,83.02,77.19,172,53
paddle,batch1-0415,75.34,74.1,73.05,70.59,75.0,97.84,76.47,81.25,139,34
paddle,batch1-0471,84.21,85.39,85.39,88.89,88.89,96.63,96.3,96.3,89,27
paddle,batch1-0902,81.54,83.33,82.35,81.82,75.0,96.43,86.36,79.17,84,22
paddle,batch1-1019,74.38,73.46,72.56,59.57,62.22,96.3,74.47,77.78,162,47
paddle,batch1-0093,80.8,81.15,79.84,70.59,70.59,98.36,82.35,82.35,122,34
paddle,batch1-0704,72.69,70.95,70.56,67.44,70.73,96.09,74.42,78.05,179,43
paddle,batch1-0790,82.44,84.52,80.68,90.48,79.17,97.62,95.24,83.33,84,21
paddle,batch1-0296,81.01,80.34,78.99,71.43,71.43,95.73,77.14,77.14,117,35
paddle,batch1-1055,75.7,74.86,73.26,57.45,55.1,96.72,76.6,73.47,183,47
paddle,batch1-0336,73.97,74.36,69.88,71.43,73.17,95.51,76.19,78.05,156,42
paddle,batch1-1325,71.83,70.33,68.37,65.31,71.11,97.61,71.43,77.78,209,49
paddle,batch1-0724,87.52,84.09,82.84,81.08,81.08,97.73,86.49,86.49,132,37
paddle,batch1-1151,74.47,73.91,73.38,64.44,69.05,97.1,82.22,88.1,138,45
paddle,batch1-0088,78.21,78.82,77.01,76.74,78.57,96.47,83.72,85.71,170,43
paddle,batch1-1349,74.71,73.54,72.4,62.3,61.29,94.18,80.33,79.03,189,61
paddle,batch1-0817,74.23,73.02,69.7,65.31,66.67,96.83,75.51,77.08,189,49
paddle,batch1-0397,77.59,78.82,76.57,70.45,70.45,96.47,79.55,79.55,170,44
paddle,batch1-0979,80.72,79.44,79.44,70.0,67.74,96.26,83.33,80.65,107,30
paddle,batch1-0165,79.76,78.91,77.33,73.17,78.95,96.6,78.05,84.21,147,41
paddle,batch1-1312,82.01,81.4,80.46,84.0,80.77,100.0,100.0,96.15,86,25
paddle,batch1-0500,75.76,74.32,73.33,71.05,72.97,95.95,78.95,81.08,148,38
paddle,batch1-0073,84.98,84.25,82.31,84.85,84.85,96.06,84.85,84.85,127,33
paddle,batch1-1273,78.6,77.89,77.08,81.48,81.48,97.89,88.89,88.89,95,27
paddle,batch1-1226,80.11,80.7,80.0,75.76,78.12,95.61,87.88,90.62,114,33
paddle,batch1-0427,76.3,78.26,76.6,71.43,65.79,97.1,82.86,76.32,138,35
paddle,batch1-0964,75.16,71.93,70.69,65.91,65.91,97.08,75.0,75.0,171,44
paddle,batch1-0809,80.53,80.72,79.76,81.48,78.57,100.0,100.0,96.43,83,27
paddle,batch1-0283,81.01,81.3,80.0,73.53,75.76,96.75,79.41,81.82,123,34
paddle,batch1-0796,78.13,77.84,76.02,65.22,68.18,96.41,76.09,79.55,167,46
paddle,batch1-1439,81.69,82.18,81.37,76.67,79.31,97.03,86.67,89.66,101,30
paddle,batch1-0367,73.11,71.04,69.89,61.9,66.67,97.27,69.05,74.36,183,42
paddle,batch1-0452,89.59,91.36,91.36,88.46,88.46,98.77,100.0,100.0,81,26
paddle,batch1-0108,83.19,84.04,83.16,81.48,75.86,96.81,88.89,82.76,94,27
paddle,batch1-0824,73.31,71.22,69.72,65.91,65.91,95.68,84.09,84.09,139,44
paddle,batch1-0851,81.08,79.66,78.33,67.57,67.57,94.92,81.08,81.08,118,37
paddle,batch1-0560,76.4,75.16,74.68,77.78,77.78,96.73,86.11,86.11,153,36
paddle,batch1-0428,79.45,84.21,83.12,87.5,84.0,97.37,95.83,92.0,76,24
paddle,batch1-0897,82.58,84.78,82.98,80.0,74.07,97.83,88.0,81.48,92,25
paddle,batch1-1178,77.19,75.16,74.23,71.11,72.73,95.65,84.44,86.36,161,45
paddle,batch1-1290,88.79,84.4,84.4,82.76,85.71,97.25,86.21,89.29,109,29
paddle,batch1-0120,73.02,71.91,70.72,63.93,66.1,96.63,78.69,81.36,178,61
paddle,batch1-0903,79.23,78.9,78.18,75.76,80.65,96.33,84.85,90.32,109,33
paddle,batch1-0705,74.42,73.44,72.31,62.5,62.5,97.66,75.0,75.0,128,32
paddle,batch1-1046,78.85,78.87,76.71,69.23,67.5,96.48,79.49,77.5,142,39
paddle,batch1-0816,76.05,78.64,78.64,83.33,83.33,97.09,93.33,93.33,103,30
paddle,batch1-0677,74.56,70.81,68.59,67.35,68.75,95.68,77.55,79.17,185,49
paddle,batch1-1185,81.96,83.95,83.95,86.96,86.96,98.77,95.65,95.65,81,23
paddle,batch1-0569,76.53,75.62,74.69,61.7,64.44,96.88,74.47,77.78,160,47
paddle,batch1-0914,78.36,75.63,74.38,70.97,68.75,94.96,80.65,78.12,119,31
paddle,batch1-0697,75.08,76.3,73.33,70.83,72.34,95.95,79.17,80.85,173,48
paddle,batch1-1319,78.36,77.59,77.59,75.86,75.86,97.41,82.76,82.76,116,29
paddle,batch1-0223,78.51,79.13,78.45,80.65,80.65,97.39,90.32,90.32,115,31
paddle,batch1-1261,80.53,80.86,78.44,76.74,75.0,98.15,83.72,81.82,162,43
paddle,batch1-1075,78.54,76.4,74.55,65.22,68.18,98.14,80.43,84.09,161,46
paddle,batch1-0463,78.03,76.86,76.86,71.43,71.43,95.87,82.86,82.86,121,35
paddle,batch1-0859,77.13,76.64,76.64,69.44,75.76,97.08,83.33,90.91,137,36
paddle,batch1-0549,80.07,82.8,82.8,85.71,85.71,95.7,92.86,92.86,93,28
paddle,batch1-0772,77.22,74.14,74.14,74.19,76.67,96.55,83.87,86.67,116,31
paddle,batch1-0556,77.07,73.81,72.94,61.7,59.18,95.83,78.72,75.51,168,47
paddle,batch1-1026,78.91,78.42,77.3,74.29,76.47,97.84,82.86,85.29,139,35
paddle,batch1-0231,75.58,74.29,72.63,66.67,68.18,97.14,75.56,77.27,175,45
paddle,batch1-1115,81.39,82.5,81.48,90.91,83.33,97.5,100.0,91.67,80,22
paddle,batch1-1047,78.52,77.88,76.42,79.31,79.31,98.08,89.66,89.66,104,29
paddle,batch1-1122,73.09,70.62,69.44,71.11,78.05,96.61,75.56,82.93,177,45
paddle,batch1-0133,77.88,80.19,79.44,75.0,72.41,98.11,85.71,82.76,106,28
paddle,batch1-0245,73.34,70.1,68.75,62.22,65.12,98.04,73.33,76.74,204,45
paddle,batch1-0674,80.83,85.0,83.95,90.91,83.33,97.5,100.0,91.67,80,22
paddle,batch1-0481,77.77,77.27,76.12,75.68,77.78,96.21,81.08,83.33,132,37
paddle,batch1-1331,76.4,76.33,74.57,63.04,59.18,96.45,76.09,71.43,169,46
paddle,batch1-0279,85.26,83.21,80.85,84.62,82.5,96.35,87.18,85.0,137,39
paddle,batch1-0766,75.91,71.76,70.52,63.04,65.91,97.65,76.09,79.55,170,46
paddle,batch1-1464,80.18,82.41,81.65,77.42,80.0,95.37,83.87,86.67,108,31
paddle,batch1-0933,76.36,79.23,76.87,78.38,80.56,98.46,86.49,88.89,130,37
paddle,batch1-0377,82.3,81.51,79.87,78.57,80.49,97.26,83.33,85.37,146,42
paddle,batch1-0012,88.64,87.3,85.94,80.56,85.29,98.41,83.33,88.24,126,36
paddle,batch1-0050,74.18,73.53,72.99,64.71,66.67,97.06,73.53,75.76,136,34
paddle,batch1-0793,84.25,83.12,82.05,82.61,76.0,97.4,91.3,84.0,77,23
paddle,batch1-1341,77.63,75.37,72.66,71.05,69.23,98.51,86.84,84.62,134,38
paddle,batch1-1148,76.55,74.19,73.02,65.85,64.29,95.97,87.8,85.71,124,41
paddle,batch1-0522,75.97,76.58,75.62,62.5,63.83,98.1,83.33,85.11,158,48
paddle,batch1-1025,76.68,76.06,74.65,62.71,63.79,97.18,81.36,82.76,213,59
paddle,batch1-0169,86.19,88.46,88.46,87.5,87.5,98.72,95.83,95.83,78,24
paddle,batch1-1231,93.07,89.91,88.29,90.0,87.1,97.25,90.0,87.1,109,30
paddle,batch1-1381,76.29,73.68,73.68,60.0,63.16,94.08,70.0,73.68,152,40
paddle,batch1-0710,70.15,68.84,67.58,57.35,56.52,95.35,80.88,79.71,215,68
paddle,batch1-0686,75.07,72.99,72.57,68.18,73.17,97.7,77.27,82.93,174,44
paddle,batch1-1109,82.11,80.77,79.25,73.33,76.74,96.15,82.22,86.05,156,45
paddle,batch1-1287,82.14,83.52,82.61,84.62,81.48,97.8,92.31,88.89,91,26
paddle,batch1-1434,82.81,80.49,79.52,76.74,75.0,95.73,83.72,81.82,164,43
paddle,batch1-1169,83.11,81.21,80.67,79.07,80.95,97.32,81.4,83.33,149,43
paddle,batch1-0026,87.65,84.55,84.55,86.21,92.59,99.09,86.21,92.59,110,29
paddle,batch1-1051,81.13,84.15,84.15,83.33,83.33,98.78,91.67,91.67,82,24
paddle,batch1-1090,77.74,76.61,74.86,73.08,76.0,97.08,82.69,86.0,171,52
paddle,batch1-0932,75.75,81.25,81.25,83.33,76.92,95.0,83.33,76.92,80,24
paddle,batch1-0238,77.92,76.62,76.13,63.64,63.64,97.4,77.27,77.27,154,44
paddle,batch1-0449,75.25,71.96,70.97,63.27,64.58,96.73,77.55,79.17,214,49
paddle,batch1-1123,82.48,81.31,79.82,75.0,70.59,97.2,87.5,82.35,107,32
paddle,batch1-1403,79.18,78.7,77.98,76.67,76.67,98.15,83.33,83.33,108,30
paddle,batch1-1071,79.93,82.42,81.52,83.33,83.33,98.9,91.67,91.67,91,24
paddle,batch1-1266,77.05,75.41,74.8,68.57,64.86,95.08,80.0,75.68,122,35
paddle,batch1-1222,73.03,71.79,70.0,64.15,65.38,96.92,73.58,75.0,195,53
paddle,batch1-0846,81.82,79.82,79.82,74.19,79.31,96.49,80.65,86.21,114,31
paddle,batch1-1166,74.88,74.62,71.85,76.47,76.47,97.69,85.29,85.29,130,34
paddle,batch1-1469,78.57,78.85,76.64,72.73,72.73,98.08,90.91,90.91,104,33
paddle,batch1-0883,73.43,72.83,71.66,58.18,58.18,95.65,83.64,83.64,184,55
paddle,batch1-0434,75.0,75.54,75.54,79.41,81.82,97.84,85.29,87.88,139,34
paddle,batch1-0060,79.89,79.52,78.57,86.36,79.17,97.59,90.91,83.33,83,22
paddle,batch1-0126,76.98,75.41,74.8,68.75,68.75,95.08,75.0,75.0,122,32
paddle,batch1-0454,79.46,78.22,78.22,85.19,85.19,96.04,92.59,92.59,101,27
paddle,batch1-0717,72.5,73.94,73.05,63.64,62.5,93.33,81.82,80.36,165,55
paddle,batch1-1068,74.89,72.92,71.07,69.81,74.0,98.44,79.25,84.0,192,53
paddle,batch1-0167,80.96,82.28,82.28,91.3,84.0,96.2,100.0,92.0,79,23
paddle,batch1-0292,76.98,78.29,77.69,72.73,75.0,97.67,87.88,90.62,129,33
paddle,batch1-0266,78.52,80.58,80.58,80.65,83.33,98.06,90.32,93.33,103,31
paddle,batch1-0981,74.42,74.84,72.96,65.22,66.67,96.77,82.61,84.44,155,46
paddle,batch1-0174,78.85,81.6,80.95,74.19,76.67,97.6,77.42,80.0,125,31
paddle,batch1-1473,84.94,85.57,85.57,75.86,78.57,98.97,82.76,85.71,97,29
paddle,batch1-0100,79.52,77.24,77.24,70.59,75.0,97.56,79.41,84.38,123,34
paddle,batch1-0716,79.57,80.41,80.41,77.78,77.78,97.94,85.19,85.19,97,27
paddle,batch1-1377,76.72,73.42,72.5,61.54,60.38,94.94,82.69,81.13,158,52
paddle,batch1-0692,71.08,69.42,67.14,58.46,52.78,96.12,83.08,75.0,206,65
paddle,batch1-0374,81.01,83.33,82.28,86.96,83.33,97.44,91.3,87.5,78,23
paddle,batch1-1225,80.57,82.8,82.8,82.14,79.31,96.77,89.29,86.21,93,28
paddle,batch1-1344,75.12,74.85,72.62,78.95,75.0,96.93,81.58,77.5,163,38
paddle,batch1-0764,77.26,76.22,75.3,63.16,63.16,98.17,80.7,80.7,164,57
paddle,batch1-0286,74.27,72.09,71.26,68.89,70.45,97.09,77.78,79.55,172,45
paddle,batch1-0843,80.65,81.58,80.52,82.61,76.0,97.37,100.0,92.0,76,23
paddle,batch1-0049,77.49,77.5,76.86,72.73,72.73,96.67,84.85,84.85,120,33
paddle,batch1-1132,78.44,76.4,73.91,70.0,71.43,97.75,80.0,81.63,178,50
paddle,batch1-0757,77.56,79.71,79.14,78.38,80.56,97.83,86.49,88.89,138,37
paddle,batch1-1484,72.51,71.24,70.32,58.0,63.04,96.73,76.0,82.61,153,50
paddle,batch1-1124,80.87,81.0,81.0,76.67,82.14,98.0,83.33,89.29,100,30
paddle,batch1-1453,84.13,86.21,84.75,74.29,70.27,96.55,82.86,78.38,116,35
