case concept:name,PO,GR,INV,match,gap,rework,cleared
2000000161_00001,4018.0,4018.0,4018.0,True,0.0,True,True
2000000163_00001,905.0,905.0,905.0,True,0.0,False,True
2000000167_00001,41.0,41.0,41.0,True,0.0,False,True
2000000167_00002,56.0,56.0,56.0,True,0.0,False,True
2000000167_00003,101.0,101.0,101.0,True,0.0,False,True
2000000170_00001,746.0,746.0,746.0,True,0.0,False,True
2000000171_00001,24240.0,24240.0,24240.0,True,0.0,False,True
2000000176_00001,389.0,389.0,389.0,True,0.0,False,True
2000000177_00001,644.0,644.0,644.0,True,0.0,False,True
2000000177_00002,25.0,25.0,25.0,True,0.0,False,True
2000000179_00001,82.0,82.0,82.0,True,0.0,False,True
2000000181_00001,214.0,214.0,214.0,True,0.0,False,True
2000000182_00001,165085.0,165085.0,165085.0,True,0.0,False,True
2000000187_00001,41.0,41.0,41.0,True,0.0,False,True
2000000188_00001,10115.0,10115.0,10115.0,True,0.0,False,True
2000000190_00001,183.0,183.0,183.0,True,0.0,False,True
2000000191_00001,896.0,896.0,896.0,True,0.0,False,True
2000000192_00001,233.0,233.0,233.0,True,0.0,False,False
2000000197_00001,78.0,78.0,78.0,True,0.0,False,True
2000000197_00002,303.0,303.0,303.0,True,0.0,False,True
2000000200_00001,4125.0,4125.0,4125.0,True,0.0,False,True
2000000204_00001,2493.0,2493.0,2493.0,True,0.0,False,True
2000000212_00001,142443.0,142443.0,142443.0,True,0.0,False,True
2000000214_00001,161214.0,161214.0,161214.0,True,0.0,False,True
2000000215_00001,11721.0,11721.0,11721.0,True,0.0,False,True
2000000216_00001,3186.0,3186.0,3186.0,True,0.0,False,True
2000000218_00001,17320.0,17320.0,17320.0,True,0.0,False,True
2000000219_00001,8227.0,8227.0,8227.0,True,0.0,False,True
2000013410_00001,14896.0,14896.0,14896.0,True,0.0,False,True
2000013414_00001,137.0,137.0,137.0,True,0.0,False,True
2000013416_00003,88.0,88.0,88.0,True,0.0,False,False
2000013418_00001,103.0,103.0,103.0,True,0.0,False,True
2000013418_00002,74.0,74.0,74.0,True,0.0,False,True
2000013419_00001,17987.0,17987.0,17987.0,True,0.0,False,True
2000013424_00001,6062.0,6062.0,6062.0,True,0.0,False,True
2000013427_00001,41.0,41.0,41.0,True,0.0,False,True
2000013427_00002,46.0,46.0,46.0,True,0.0,False,True
2000013429_00001,150.0,150.0,150.0,True,0.0,False,True
2000013430_00001,23328.0,23328.0,23328.0,True,0.0,False,True
2000013431_00001,3446.0,3446.0,3446.0,True,0.0,False,True
2000013433_00001,473.0,473.0,473.0,True,0.0,True,True
2000013434_00001,784.0,784.0,784.0,True,0.0,True,True
2000013436_00001,4580.0,4580.0,4580.0,True,0.0,False,True
2000013439_00001,35317.0,35317.0,35317.0,True,0.0,True,True
2000013443_00001,77.0,77.0,77.0,True,0.0,False,True
2000013443_00002,46.0,46.0,46.0,True,0.0,False,True
2000013443_00003,161.0,161.0,161.0,True,0.0,False,True
2000013445_00001,49363.0,49363.0,49363.0,True,0.0,False,True
2000013450_00001,14289.0,14289.0,14289.0,True,0.0,False,True
2000013451_00001,13856.0,13856.0,13856.0,True,0.0,False,True
2000013452_00001,20988.0,20988.0,20988.0,True,0.0,True,True
2000013459_00001,103923.0,103923.0,103923.0,True,0.0,False,True
2000013464_00001,434.0,434.0,434.0,True,0.0,False,True
2000013466_00001,117850.0,117850.0,117850.0,True,0.0,False,True
2000013472_00001,338335.0,338335.0,338335.0,True,0.0,False,True
2000013476_00001,3956.0,3956.0,3956.0,True,0.0,False,True
2000013480_00001,10132.0,10132.0,10132.0,True,0.0,False,True
2000013481_00001,116.0,116.0,116.0,True,0.0,False,True
2000013482_00001,4715.0,4715.0,4715.0,True,0.0,False,True
2000013492_00001,1801.0,1801.0,1801.0,True,0.0,False,True
2000013493_00001,34777.0,34777.0,34777.0,True,0.0,False,True
2000013495_00001,3540.0,3540.0,3540.0,True,0.0,True,True
2000013496_00001,611.0,611.0,611.0,True,0.0,False,True
2000013503_00001,64929.0,64929.0,64929.0,True,0.0,False,True
2000013504_00001,24162.0,24162.0,24162.0,True,0.0,True,True
2000013510_00001,37939.0,37939.0,37939.0,True,0.0,False,True
2000013511_00001,521.0,521.0,521.0,True,0.0,True,True
2000013518_00001,1382.0,1382.0,1382.0,True,0.0,False,True
2000013519_00001,265.0,265.0,265.0,True,0.0,False,True
2000013520_00001,138.0,138.0,138.0,True,0.0,False,True
2000013531_00001,240216.0,240216.0,240216.0,True,0.0,False,True
2000013532_00001,13182.0,13182.0,13182.0,True,0.0,True,True
2000013533_00001,36.0,36.0,36.0,True,0.0,False,True
2000013533_00002,273.0,273.0,273.0,True,0.0,False,True
2000013536_00001,113023.0,113023.0,113023.0,True,0.0,False,True
2000013537_00001,5188.0,5188.0,5188.0,True,0.0,False,True
2000013538_00001,3725.0,3725.0,3725.0,True,0.0,False,True
2000013540_00001,12124.0,12124.0,12124.0,True,0.0,False,True
2000013541_00001,346.0,346.0,346.0,True,0.0,False,True
2000013542_00001,869.0,869.0,869.0,True,0.0,True,True
2000013548_00001,116.0,116.0,116.0,True,0.0,False,True
2000013549_00001,63011.0,63011.0,63011.0,True,0.0,True,True
2000013553_00001,4529.0,4529.0,4529.0,True,0.0,True,True
2000013554_00001,6862.0,6862.0,6862.0,True,0.0,True,True
2000013559_00001,687.0,687.0,687.0,True,0.0,False,True
2000013560_00001,23625.0,23625.0,23625.0,True,0.0,False,True
2000013561_00001,94553.0,94553.0,94553.0,True,0.0,False,True
2000013562_00001,6235.0,6235.0,6235.0,True,0.0,False,True
2000013563_00001,285.0,285.0,285.0,True,0.0,False,True
2000013572_00001,1619.0,1619.0,1619.0,True,0.0,False,True
2000013573_00001,1020.0,1020.0,1020.0,True,0.0,False,True
2000013574_00001,55578.0,55578.0,55578.0,True,0.0,False,True
2000013575_00001,75.0,75.0,75.0,True,0.0,False,True
2000013575_00002,112.0,112.0,112.0,True,0.0,False,True
2000013579_00001,1723.0,1723.0,1723.0,True,0.0,True,True
2000013580_00001,5196.0,5196.0,5196.0,True,0.0,False,True
2000013585_00001,39150.0,39150.0,39150.0,True,0.0,True,True
2000013586_00001,212.0,212.0,212.0,True,0.0,False,True
2000013589_00001,27173.0,27173.0,27173.0,True,0.0,True,True
2000013591_00001,7923.0,7923.0,7923.0,True,0.0,False,True
2000013592_00001,32.0,32.0,32.0,True,0.0,False,True
2000013594_00001,15172.0,15172.0,15172.0,True,0.0,True,True
2000013595_00001,18655.0,18655.0,18655.0,True,0.0,False,True
2000013596_00001,13492.0,13492.0,13492.0,True,0.0,True,True
2000013597_00001,47.0,47.0,47.0,True,0.0,False,True
2000013602_00001,606.0,606.0,606.0,True,0.0,False,True
2000013604_00001,15839.0,15839.0,15839.0,True,0.0,False,True
2000013605_00001,15893.0,15893.0,15893.0,True,0.0,False,True
2000013608_00001,1624.0,1624.0,1624.0,True,0.0,False,True
2000013611_00001,20784.0,20784.0,20784.0,True,0.0,False,True
2000013620_00001,18030.0,18030.0,18030.0,True,0.0,False,True
2000013621_00001,91890.0,91890.0,91890.0,True,0.0,False,True
2000013630_00001,519.0,519.0,519.0,True,0.0,False,True
2000013631_00001,389.0,389.0,389.0,True,0.0,False,True
2000013632_00001,121.0,121.0,121.0,True,0.0,False,True
2000013633_00001,18885.0,18885.0,18885.0,True,0.0,False,True
2000013636_00001,777.0,777.0,777.0,True,0.0,True,True
2000013637_00001,17221.0,17221.0,17221.0,True,0.0,True,True
2000013638_00001,17320.0,17320.0,17320.0,True,0.0,False,True
2000013643_00001,10248.0,10248.0,10248.0,True,0.0,False,True
2000013647_00001,134.0,134.0,134.0,True,0.0,False,True
2000013647_00002,123.0,123.0,123.0,True,0.0,False,True
2000013647_00003,561.0,561.0,561.0,True,0.0,False,True
2000013648_00001,108.0,108.0,108.0,True,0.0,False,True
2000013649_00001,232.0,232.0,232.0,True,0.0,False,True
2000013652_00001,19673.0,19673.0,19673.0,True,0.0,True,True
2000013653_00001,179.0,179.0,179.0,True,0.0,False,True
2000013654_00001,265.0,265.0,265.0,True,0.0,False,True
2000013658_00001,88202.0,88202.0,88202.0,True,0.0,False,True
2000013659_00001,12124.0,12124.0,12124.0,True,0.0,False,True
2000013660_00001,29335.0,29335.0,29335.0,True,0.0,False,True
2000013663_00001,995.0,995.0,995.0,True,0.0,False,True
2000013667_00001,3072.0,3072.0,3072.0,True,0.0,True,True
2000013668_00001,130.0,130.0,130.0,True,0.0,False,True
2000013668_00002,204.0,204.0,204.0,True,0.0,False,True
2000013671_00001,1114.0,1114.0,1114.0,True,0.0,False,True
2000013672_00001,38.0,38.0,38.0,True,0.0,False,True
2000013675_00001,13674.0,13674.0,13674.0,True,0.0,True,True
2000013676_00001,5196.0,5196.0,5196.0,True,0.0,False,True
2000033448_00001,5327.0,5327.0,5327.0,True,0.0,False,True
2000033449_00001,9114.0,9114.0,9114.0,True,0.0,False,True
2000033450_00001,7060.0,7060.0,7060.0,True,0.0,False,True
2000033452_00001,8641.0,8641.0,8641.0,True,0.0,False,True
2000033453_00001,76.0,76.0,76.0,True,0.0,False,True
2000033457_00001,160.0,160.0,160.0,True,0.0,False,True
2000033457_00002,286.0,286.0,286.0,True,0.0,False,True
2000033459_00001,389.0,389.0,389.0,True,0.0,False,True
2000033460_00001,1019.0,1019.0,1019.0,True,0.0,False,True
2000033464_00002,25.0,25.0,25.0,True,0.0,False,True
2000033469_00001,10726.0,10726.0,10726.0,True,0.0,False,True
2000033470_00001,33936.0,33936.0,33936.0,True,0.0,False,True
2000033474_00001,7097.0,7097.0,7097.0,True,0.0,False,True
2000033475_00001,2377.0,2377.0,2377.0,True,0.0,True,True
2000033476_00001,1695.0,1695.0,1695.0,True,0.0,False,True
2000033480_00001,389.0,389.0,389.0,True,0.0,False,True
2000033482_00001,17234.0,17234.0,17234.0,True,0.0,False,True
2000033489_00001,1382.0,1382.0,1382.0,True,0.0,False,True
2000033489_00002,2511.0,2511.0,2511.0,True,0.0,False,True
2000033498_00001,76.0,76.0,76.0,True,0.0,False,True
2000033498_00002,216.0,216.0,216.0,True,0.0,False,True
2000033501_00001,30.0,30.0,30.0,True,0.0,False,True
2000033501_00002,38.0,38.0,38.0,True,0.0,False,True
2000033501_00003,26.0,26.0,26.0,True,0.0,False,True
2000033501_00004,27.0,27.0,27.0,True,0.0,False,True
2000033502_00001,69282.0,69282.0,69282.0,True,0.0,False,True
2000033503_00001,6841.0,6841.0,6841.0,True,0.0,False,True
2000033507_00001,24.0,24.0,24.0,True,0.0,False,True
2000033508_00001,23382.0,23382.0,23382.0,True,0.0,False,True
2000033514_00001,89431.0,89431.0,89431.0,True,0.0,False,True
2000033516_00001,4889.0,4889.0,4889.0,True,0.0,False,True
2000033517_00001,16607.0,16607.0,16607.0,True,0.0,False,True
2000033519_00001,10676.0,10676.0,10676.0,True,0.0,False,True
2000033520_00001,15579.0,15579.0,15579.0,True,0.0,False,True
2000033525_00001,66.0,66.0,66.0,True,0.0,False,True
2000033525_00002,23.0,23.0,23.0,True,0.0,False,True
2000033533_00001,110812.0,110812.0,110812.0,True,0.0,False,True
2000033534_00001,190.0,190.0,190.0,True,0.0,True,True
2000033535_00001,192.0,192.0,192.0,True,0.0,True,True
2000033537_00001,93.0,93.0,93.0,True,0.0,False,True
2000033541_00001,22915.0,22915.0,22915.0,True,0.0,False,True
2000033546_00001,55.0,55.0,55.0,True,0.0,False,True
2000033546_00002,99.0,99.0,99.0,True,0.0,False,True
2000033546_00004,15.0,15.0,15.0,True,0.0,False,True
2000033546_00005,87.0,87.0,87.0,True,0.0,False,True
2000033546_00006,19.0,19.0,19.0,True,0.0,False,True
2000033546_00007,32.0,32.0,32.0,True,0.0,False,True
2000033548_00001,4611.0,4611.0,4611.0,True,0.0,False,True
2000033549_00001,16826.0,16826.0,16826.0,True,0.0,False,True
2000033555_00001,14670.0,14670.0,14670.0,True,0.0,False,True
2000033560_00001,76.0,76.0,76.0,True,0.0,False,True
2000033560_00002,104.0,104.0,104.0,True,0.0,False,True
2000033560_00003,44.0,44.0,44.0,True,0.0,False,True
2000033563_00001,18965.0,18965.0,18965.0,True,0.0,False,True
2000033564_00001,51.0,51.0,51.0,True,0.0,False,True
2000033568_00001,72443.0,72443.0,72443.0,True,0.0,False,True
2000033574_00001,1212.0,1212.0,1212.0,True,0.0,False,True
2000033575_00001,27279.0,27279.0,27279.0,True,0.0,False,True
2000033576_00001,129.0,129.0,129.0,True,0.0,False,True
2000033579_00001,6334.0,6334.0,6334.0,True,0.0,True,True
2000033580_00001,14625.0,14625.0,14625.0,True,0.0,False,True
2000033581_00001,4046.0,4046.0,4046.0,True,0.0,False,True
2000033582_00001,4096.0,4096.0,4096.0,True,0.0,False,True
2000033583_00001,342.0,342.0,342.0,True,0.0,True,True
2000033584_00001,95262.0,95262.0,95262.0,True,0.0,False,True
2000033585_00001,11688.0,11688.0,11688.0,True,0.0,False,True
2000033586_00001,5923.0,5923.0,5923.0,True,0.0,False,True
2000033588_00001,129903.0,129903.0,129903.0,True,0.0,False,True
2000033589_00001,165142.0,165142.0,165142.0,True,0.0,False,True
2000033591_00001,1517.0,1517.0,1517.0,True,0.0,False,True
2000033598_00001,104789.0,104789.0,104789.0,True,0.0,False,True
2000033599_00001,71.0,71.0,71.0,True,0.0,False,True
2000033600_00001,7787.0,7787.0,7787.0,True,0.0,False,True
2000033602_00001,58668.0,58668.0,58668.0,True,0.0,False,True
2000033606_00001,7101.0,7101.0,7101.0,True,0.0,False,True
2000033607_00001,4589.0,4589.0,4589.0,True,0.0,False,True
2000033608_00001,44418.0,44418.0,44418.0,True,0.0,False,True
2000033615_00001,5196.0,5196.0,5196.0,True,0.0,False,True
2000033616_00001,280.0,280.0,280.0,True,0.0,False,False
2000033618_00001,174.0,174.0,174.0,True,0.0,False,True
2000033622_00001,1299.0,1299.0,1299.0,True,0.0,False,True
2000033624_00001,152.0,152.0,152.0,True,0.0,False,True
2000033626_00001,483.0,483.0,483.0,True,0.0,False,True
2000033627_00001,15588.0,15588.0,15588.0,True,0.0,False,True
2000033628_00001,3380.0,3380.0,3380.0,True,0.0,False,True
2000033629_00001,3342.0,3342.0,3342.0,True,0.0,False,True
2000033631_00001,16887.0,16887.0,16887.0,True,0.0,False,True
2000033633_00001,1066.0,1066.0,1066.0,True,0.0,False,True
2000033634_00001,51127.0,51127.0,51127.0,True,0.0,False,True
2000033635_00001,13814.0,13814.0,13814.0,True,0.0,True,True
2000052671_00001,91937.0,91937.0,91937.0,True,0.0,False,True
2000052672_00001,174299.0,174299.0,174299.0,True,0.0,False,True
2000052674_00001,2598.0,2598.0,2598.0,True,0.0,False,False
2000052689_00001,219133.0,219133.0,219133.0,True,0.0,False,True
2000052692_00001,124.0,124.0,124.0,True,0.0,False,True
2000052694_00001,89548.0,89548.0,89548.0,True,0.0,False,True
2000052696_00001,15378.0,15378.0,15378.0,True,0.0,False,True
2000052698_00001,8649.0,8649.0,8649.0,True,0.0,False,True
2000052699_00001,8547.0,8547.0,8547.0,True,0.0,False,True
2000052707_00002,8.0,8.0,8.0,True,0.0,False,True
2000052708_00001,389.0,389.0,389.0,True,0.0,False,True
2000052709_00001,117303.0,117303.0,117303.0,True,0.0,False,True
2000052716_00001,4711.0,4711.0,4711.0,True,0.0,False,True
2000052720_00001,6581.0,6581.0,6581.0,True,0.0,False,True
2000052722_00001,58471.0,58471.0,58471.0,True,0.0,True,True
2000052724_00001,45940.0,45940.0,45940.0,True,0.0,False,True
2000052725_00001,389.0,389.0,389.0,True,0.0,False,True
2000052727_00001,147.0,147.0,147.0,True,0.0,False,True
2000052727_00002,523.0,523.0,523.0,True,0.0,False,True
2000052729_00001,11900.0,11900.0,11900.0,True,0.0,False,True
2000052739_00001,3464.0,3464.0,3464.0,True,0.0,False,True
2000052744_00001,5967.0,5967.0,5967.0,True,0.0,False,True
2000052745_00001,24.0,24.0,24.0,True,0.0,False,False
2000052745_00002,18.0,18.0,18.0,True,0.0,False,False
2000052745_00003,28.0,28.0,28.0,True,0.0,False,False
2000052745_00004,15.0,15.0,15.0,True,0.0,False,False
2000052745_00005,14.0,14.0,14.0,True,0.0,False,False
2000052745_00006,50.0,50.0,50.0,True,0.0,False,False
2000052745_00007,19.0,19.0,19.0,True,0.0,False,False
2000052747_00001,10740.0,10740.0,10740.0,True,0.0,False,True
2000052750_00001,4013.0,4013.0,4013.0,True,0.0,False,False
2000052754_00001,3026.0,3026.0,3026.0,True,0.0,False,True
2000052755_00001,4437.0,4437.0,4437.0,True,0.0,True,True
2000052761_00001,113.0,113.0,113.0,True,0.0,False,True
2000052761_00002,332.0,332.0,332.0,True,0.0,False,True
2000052764_00001,3181.0,3181.0,3181.0,True,0.0,False,True
2000052765_00001,15242.0,15242.0,15242.0,True,0.0,False,True
2000052766_00001,3261.0,3261.0,3261.0,True,0.0,False,True
2000052769_00001,14840.0,14840.0,14840.0,True,0.0,False,True
2000052770_00001,14809.0,14809.0,14809.0,True,0.0,False,True
2000052771_00001,16867.0,16867.0,16867.0,True,0.0,False,True
2000052782_00001,8989.0,8989.0,8989.0,True,0.0,False,False
2000052784_00001,116.0,116.0,116.0,True,0.0,False,True
2000052786_00001,1409.0,1409.0,1409.0,True,0.0,True,True
2000052788_00001,37623.0,37623.0,37623.0,True,0.0,False,True
2000052791_00001,193989.0,193989.0,193989.0,True,0.0,False,True
2000052797_00001,98.0,98.0,98.0,True,0.0,False,True
2000052802_00001,53042.0,53042.0,53042.0,True,0.0,False,True
2000052806_00001,6942.0,6942.0,6942.0,True,0.0,False,False
2000052807_00005,126.0,126.0,126.0,True,0.0,False,True
2000052809_00001,2598.0,2598.0,2598.0,True,0.0,False,False
2000052815_00001,78994.0,78994.0,78994.0,True,0.0,False,False
2000052816_00001,54356.0,54356.0,54356.0,True,0.0,False,True
2000052817_00001,1842.0,1842.0,1842.0,True,0.0,False,True
2000052818_00001,1732.0,1732.0,1732.0,True,0.0,False,True
2000052831_00001,56591.0,56591.0,56591.0,True,0.0,False,False
2000052834_00001,216506.0,216506.0,216506.0,True,0.0,False,True
2000052837_00001,138779.0,138779.0,138779.0,True,0.0,False,False
2000052840_00001,61017.0,61017.0,61017.0,True,0.0,False,False
2000052844_00001,51944.0,51944.0,51944.0,True,0.0,False,True
2000052851_00001,16345.0,16345.0,16345.0,True,0.0,False,False
2000052853_00001,15588.0,15588.0,15588.0,True,0.0,False,False
2000052854_00001,7949.0,7949.0,7949.0,True,0.0,False,True
2000052856_00001,2528.0,2528.0,2528.0,True,0.0,False,False
2000052860_00001,32.0,32.0,32.0,True,0.0,False,False
2000052861_00001,10418.0,10418.0,10418.0,True,0.0,False,True
2000052864_00001,914.0,914.0,914.0,True,0.0,False,True
2000052866_00001,52165.0,52165.0,52165.0,True,0.0,False,False
2000052870_00001,64512.0,64512.0,64512.0,True,0.0,False,False
2000052880_00001,16054.0,16054.0,16054.0,True,0.0,False,True
2000052881_00001,2598.0,2598.0,2598.0,True,0.0,False,False
2000052884_00001,1701.0,1701.0,1701.0,True,0.0,False,False
2000052889_00001,112.0,112.0,112.0,True,0.0,False,True
2000052890_00001,1047.0,1047.0,1047.0,True,0.0,False,True
2000052891_00001,21226.0,21226.0,21226.0,True,0.0,False,False
2000052899_00001,4503.0,4503.0,4503.0,True,0.0,False,True
2000052902_00001,49.0,49.0,49.0,True,0.0,False,False
2000052902_00002,194.0,194.0,194.0,True,0.0,False,False
2000052908_00001,33.0,33.0,33.0,True,0.0,False,True
2000052910_00001,285.0,285.0,285.0,True,0.0,False,True
2000052912_00001,10620.0,10620.0,10620.0,True,0.0,False,False
2000052914_00001,4046.0,4046.0,4046.0,True,0.0,False,False
2000052915_00001,2494.0,2494.0,2494.0,True,0.0,False,True
2000052916_00001,30811.0,30811.0,30811.0,True,0.0,False,False
2000052917_00001,13856.0,13856.0,13856.0,True,0.0,False,True
2000052920_00001,680.0,680.0,680.0,True,0.0,False,False
2000052921_00001,12448.0,12448.0,12448.0,True,0.0,False,False
2000052923_00001,1973.0,1973.0,1973.0,True,0.0,False,False
2000052924_00001,398.0,398.0,398.0,True,0.0,True,True
2000052926_00001,1299.0,1299.0,1299.0,True,0.0,False,False
2000052927_00001,99.0,99.0,99.0,True,0.0,False,False
2000052930_00001,568.0,568.0,568.0,True,0.0,False,False
2000052934_00001,138564.0,138564.0,138564.0,True,0.0,False,False
2000052935_00001,58370.0,58370.0,58370.0,True,0.0,False,True
2000052937_00001,385985.0,385985.0,385985.0,True,0.0,False,False
2000052941_00001,12787.0,12787.0,12787.0,True,0.0,False,False
2000052942_00001,2121.0,2121.0,2121.0,True,0.0,False,False
2000052943_00001,3464.0,3464.0,3464.0,True,0.0,False,False
2000052944_00001,160.0,160.0,160.0,True,0.0,False,False
2000052944_00002,84.0,84.0,84.0,True,0.0,False,False
2000052947_00001,69282.0,69282.0,69282.0,True,0.0,False,False
2000052948_00001,26272.0,26272.0,26272.0,True,0.0,False,False
2000052949_00001,14669.0,14669.0,14669.0,True,0.0,False,False
2000052953_00001,16299.0,16299.0,16299.0,True,0.0,False,False
2000052954_00001,4738.0,4738.0,4738.0,True,0.0,False,False
2000052959_00001,165.0,165.0,165.0,True,0.0,False,False
2000052961_00001,76424.0,76424.0,76424.0,True,0.0,False,False
2000052966_00001,129903.0,129903.0,129903.0,True,0.0,False,False
2000052968_00001,313422.0,313422.0,313422.0,True,0.0,False,False
2000052969_00001,236627.0,236627.0,236627.0,True,0.0,False,True
2000052971_00001,3533.0,3533.0,3533.0,True,0.0,False,False
2000052975_00001,1732.0,1732.0,1732.0,True,0.0,False,True
4507000227_00010,43301.0,43301.0,43301.0,True,0.0,False,True
4507000239_00030,50.0,50.0,50.0,True,0.0,False,True
4507000239_00080,103.0,103.0,103.0,True,0.0,True,True
4507000282_00030,383.0,383.0,383.0,True,0.0,False,True
4507000322_00050,2321.0,2321.0,2321.0,True,0.0,True,True
4507000322_00070,3257.0,3257.0,3257.0,True,0.0,True,True
4507000322_00250,385.0,385.0,385.0,True,0.0,True,True
4507000322_00260,385.0,385.0,385.0,True,0.0,True,True
4507000323_00050,362.0,362.0,362.0,True,0.0,False,True
4507000339_00030,367.0,367.0,367.0,True,0.0,False,True
4507000339_00050,912.0,912.0,912.0,True,0.0,False,True
4507000339_00110,522.0,522.0,522.0,True,0.0,False,True
4507000339_00120,367.0,367.0,367.0,True,0.0,False,True
4507000378_00010,37169.0,37169.0,37169.0,True,0.0,True,True
4507000417_00010,35832.0,35832.0,35832.0,True,0.0,True,True
4507000418_00010,38160.0,38160.0,38160.0,True,0.0,True,True
4507000421_00010,33058.0,33058.0,33058.0,True,0.0,True,True
4507000422_00010,33740.0,33740.0,33740.0,True,0.0,True,True
4507000425_00010,48054.0,48054.0,48054.0,True,0.0,True,True
4507000442_00010,347.0,347.0,347.0,True,0.0,True,True
4507000447_00010,131.0,131.0,131.0,True,0.0,True,True
4507000447_00030,3078.0,3078.0,3078.0,True,0.0,True,True
4507000449_00080,683.0,683.0,683.0,True,0.0,True,True
4507000468_00010,19488.0,19488.0,19488.0,True,0.0,False,True
4507000481_00010,18.0,18.0,18.0,True,0.0,True,True
4507000481_00030,449.0,449.0,449.0,True,0.0,False,True
4507000594_00010,59.0,59.0,59.0,True,0.0,False,False
4507000594_00030,59.0,59.0,59.0,True,0.0,False,False
4507000594_00040,9.0,9.0,9.0,True,0.0,False,False
4507000615_00010,4330.0,4330.0,4330.0,True,0.0,False,True
4507000754_00010,25218.0,25218.0,25218.0,True,0.0,True,True
4507000755_00010,23705.0,23705.0,23705.0,True,0.0,True,True
4507000756_00010,28497.0,28497.0,28497.0,True,0.0,True,True
4507000757_00010,25218.0,25218.0,25218.0,True,0.0,True,True
4507000798_00010,306.0,306.0,306.0,True,0.0,False,True
4507000803_00010,308.0,308.0,308.0,True,0.0,False,True
4507000807_00001,431.0,253796.0,2589.0,False,253365.0,False,False
4507000855_00430,178.0,178.0,178.0,True,0.0,False,True
4507000857_00010,6395.0,6395.0,6395.0,True,0.0,False,True
4507000858_00010,24525.0,24525.0,24525.0,True,0.0,False,True
4507000861_00010,3200.0,3200.0,3200.0,True,0.0,False,True
4507000862_00020,109.0,109.0,109.0,True,0.0,False,False
4507000863_00060,177.0,177.0,177.0,True,0.0,False,True
4507000863_00070,59.0,59.0,59.0,True,0.0,False,True
4507000863_00080,59.0,59.0,59.0,True,0.0,False,True
4507000863_00170,59.0,59.0,59.0,True,0.0,False,True
