file_name,field,doc_value,cond_value,is_defect,injected,tier,amount
batch1-0362,seller_name,Smith-Torres,Zenith Global Corp,True,True,strong,3393.4
batch1-0098,seller_name,"Rodriguez, White and Hernandez","Rodriguez, White and Hernandez Ltd.",True,True,weak,1.99
batch1-0095,seller_name,Kelley-Thomas,Kelley-Thomas Ltd.,True,True,weak,32.95
batch1-0026,seller_name,Sims-Olson,Sims-Olson,False,False,,9256.59
batch1-0082,seller_name,Nunez Inc,Zenith Global Corp,True,True,strong,371.51
batch1-0114,seller_name,Klein and Sons,Klein aBd Sons,True,True,mid,2.99
batch1-0067,seller_name,West-Hodges,West-Hodges Ltd.,True,True,weak,21.56
batch1-0094,seller_name,Armstrong Inc,Pinnacle Trading Ltd.,True,True,strong,394.19
batch1-0115,seller_name,Smith-Strickland,Smith-StBickland,True,True,mid,55.0
batch1-0229,seller_name,Robinson and Sons,RobinsoB and Sons,True,True,mid,5101.77
batch1-0124,seller_name,Marshall-Mullins,Marshall-Mullins,False,False,,7737.7
batch1-0293,seller_name,Gutierrez LLC,Gutierrez LLC,False,False,,12.76
batch1-0298,seller_name,Barron-Rodriguez,Pinnacle Trading Ltd.,True,True,strong,162.33
batch1-0433,seller_name,Mcdaniel Inc,McdanBel Inc,True,True,mid,306.82
batch1-0263,seller_name,"Cooper, Wilson and Tran","Cooper, Wilson and Tran",False,False,,247.84
batch1-0078,seller_name,Gonzales-Faulkner,Gonzales-Baulkner,True,True,mid,312.93
batch1-0066,seller_name,"Ryan, Garcia and Gregory","Ryan, Garcia Bnd Gregory",True,True,mid,1.99
batch1-0015,seller_name,Porter-Perkins,Porter-Berkins,True,True,mid,1469.45
batch1-0428,seller_name,Henry Inc,Henry Incorporated,True,True,weak,10.98
batch1-0006,seller_name,Obrien Group,Meridian Supplies Inc.,True,True,strong,732.34
batch1-0363,seller_name,Nichols-Powell,Nichols-Powell Ltd.,True,True,weak,21.45
batch1-0461,seller_name,"Nguyen, Russell and Rodriguez","Nguyen, Russell and Rodriguez",False,False,,48.14
batch1-0011,seller_name,Torres and Sons,Pinnacle Trading Ltd.,True,True,strong,91.27
batch1-0041,seller_name,"Davis, Thomas and Larson",Pinnacle Trading Ltd.,True,True,strong,194521.7
batch1-0040,seller_name,West Group,West Group,False,False,,191.26
batch1-0031,seller_name,"Garrett, Gonzales and Hurley","Garrett, Gonzales and Hurley",False,False,,29.67
batch1-0295,seller_name,French PLC,FrenBh PLC,True,True,mid,43.96
batch1-0260,seller_name,Rose-Brown,Rose-Drown,True,True,mid,1023.94
batch1-0316,seller_name,Santos-Lee,SantBs-Lee,True,True,mid,428.9
batch1-0206,seller_name,Banks Group,Banks Broup,True,True,mid,731.23
batch1-0192,seller_name,"Hood, Andrade and Kim",Meridian Supplies Inc.,True,True,strong,120.99
batch1-0340,seller_name,Daniel-Morrison,Daniel-Morrison Ltd.,True,True,weak,269.49
batch1-0054,seller_name,Anderson Group,Zenith Global Corp,True,True,strong,4007.31
batch1-0407,seller_name,Aguilar-Thompson,Aguilar-Thompson,False,False,,22.0
batch1-0455,seller_name,Huynh-Ruiz,Zenith Global Corp,True,True,strong,4008.74
batch1-0169,seller_name,"Gutierrez, Shah and Davis","Gutierrez, SBah and Davis",True,True,mid,25.52
batch1-0104,seller_name,Baker-Smith,Zenith Global Corp,True,True,strong,353.66
batch1-0065,seller_name,Castillo-Jones,Zenith Global Corp,True,True,strong,152.87
batch1-0014,seller_name,"Tran, Hurst and Rodgers",Zenith Global Corp,True,True,strong,24.95
batch1-0388,seller_name,"Mckenzie, Johnson and Rich","Mckenzie, JohBson and Rich",True,True,mid,2454.03
batch1-0457,seller_name,Davis-Shepherd,Davis-Shepherd Ltd.,True,True,weak,2441.81
batch1-0060,seller_name,"Cohen, Saunders and Chapman","Cohen, Saunders and Chapman",False,False,,32.83
batch1-0182,seller_name,"Campbell, Chavez and Reynolds","Campbell, ChavBz and Reynolds",True,True,mid,127.31
batch1-0072,seller_name,Dawson-Strickland,Dawson-Strickland Ltd.,True,True,weak,324.5
batch1-0107,seller_name,Maxwell Inc,MaxweBl Inc,True,True,mid,514.02
batch1-0224,seller_name,Gould-Martinez,Gould-Martinez,False,False,,6140.09
batch1-0231,seller_name,Mullen-Smith,MulleB-Smith,True,True,mid,18614.34
batch1-0058,seller_name,Gonzalez LLC,GonzaBez LLC,True,True,mid,470.92
batch1-0353,seller_name,Callahan and Sons,Callahan and Sons,False,False,,561.7
batch1-0352,seller_name,Fernandez LLC,FernanBez LLC,True,True,mid,18863.63
batch1-0256,seller_name,"Smith, Page and Ross","Smith, Page and Ross",False,False,,47502.39
batch1-0383,seller_name,"Galloway, Silva and Nelson",Meridian Supplies Inc.,True,True,strong,304.92
batch1-0478,seller_name,Curtis-Lloyd,Meridian Supplies Inc.,True,True,strong,387.11
batch1-0205,seller_name,"Olson, Holt and Burton","Olson, Holt and Burton",False,False,,3262.02
batch1-0313,seller_name,"Mckenzie, Clay and Campos",Zenith Global Corp,True,True,strong,323.14
batch1-0166,seller_name,"Brown, Lowery and Sandoval","Brown, Lowery Bnd Sandoval",True,True,mid,36.33
batch1-0235,seller_name,"Harrell, Johnson and Thompson","Harrell, Johnson and Thompson",False,False,,418.84
batch1-0096,seller_name,Rodriguez and Sons,Pinnacle Trading Ltd.,True,True,strong,5664.9
batch1-0004,seller_name,"Reyes, Holloway and Lee","Reyes, Holloway and Lee Ltd.",True,True,weak,819.06
batch1-0024,seller_name,"Johnson, Barrett and King","Johnson, Barrett and King Ltd.",True,True,weak,98.95
batch1-0073,seller_name,"Johnson, Buckley and Terry","Johnson, Buckley and Terry Ltd.",True,True,weak,53.96
batch1-0070,seller_name,"Wilson, Sanders and Smith",Pinnacle Trading Ltd.,True,True,strong,1250.75
batch1-0380,seller_name,Montgomery LLC,Montgomery LLC,False,False,,18749.5
batch1-0436,seller_name,"Padilla, Webb and Pearson","Padilla, Webb and Pearson",False,False,,307.93
batch1-0404,seller_name,Moore-Miller,Moore-Miller,False,False,,4695.01
batch1-0168,seller_name,"Cantu, Livingston and Baker","Cantu, Livingston and Baker Ltd.",True,True,weak,2511.2
batch1-0227,seller_name,Chan-Becker,Chan-BBcker,True,True,mid,46215.06
batch1-0254,seller_name,Rivers-Martin,Rivers-Bartin,True,True,mid,181.34
batch1-0289,seller_name,Brown-Russell,Brown-Russell Ltd.,True,True,weak,350.24
batch1-0119,seller_name,"Pierce, Barber and Howard","Pierce, BarbBr and Howard",True,True,mid,701.72
batch1-0149,seller_name,"Mendez, Gibson and Shaffer","Mendez, Gibson and Shaffer",False,False,,10865.23
batch1-0102,seller_name,"Parker, Khan and Parker",Pinnacle Trading Ltd.,True,True,strong,321.95
batch1-0429,seller_name,"Gonzalez, Bauer and Taylor","Gonzalez, Bauer and Taylor Ltd.",True,True,weak,261.41
batch1-0009,seller_name,Padilla-Miller,Meridian Supplies Inc.,True,True,strong,124.79
batch1-0042,seller_name,Potter-Gordon,Potter-Gordon,False,False,,15574.11
batch1-0443,seller_name,Black-Smith,Black-Smith Ltd.,True,True,weak,6.38
batch1-0453,seller_name,Ramirez Ltd,Ramirez Ltd,False,False,,29087.53
batch1-0370,seller_name,"Thornton, Franklin and Hamilton","Thornton, Franklin and Hamilton",False,False,,4140.06
batch1-0202,seller_name,Watson LLC,Watson LLC,False,False,,1182.5
batch1-0109,seller_name,Campos-Hawkins,Campos-Hawkins,False,False,,986.7
batch1-0085,seller_name,Myers Inc,Myers Inc,False,False,,2970.0
batch1-0092,seller_name,Weaver Ltd,Weaver Limited,True,True,weak,32.83
batch1-0037,seller_name,Carter Inc,CartBr Inc,True,True,mid,151.38
batch1-0355,seller_name,"Logan, Deleon and Ayers",Pinnacle Trading Ltd.,True,True,strong,266.11
batch1-0459,seller_name,Johnson-Mcdonald,Johnson-Mcdonald,False,False,,20085.99
batch1-0252,seller_name,Anderson Ltd,Anderson Limited,True,True,weak,25.15
batch1-0063,seller_name,"Padilla, Mccarthy and Gonzales","Padilla, Mccarthy and Gonzales Ltd.",True,True,weak,154.0
batch1-0287,seller_name,Rivera Group,RiverB Group,True,True,mid,204.27
batch1-0239,seller_name,Ryan LLC,Meridian Supplies Inc.,True,True,strong,7269.8
batch1-0175,seller_name,Austin-Mcmillan,Austin-MBmillan,True,True,mid,5375.57
batch1-0390,seller_name,Green-Wright,Green-Wright,False,False,,502.74
batch1-0419,seller_name,"Holloway, Ford and Smith","Holloway, Ford and Smith",False,False,,365.13
batch1-0308,seller_name,Merritt-Gallagher,Merritt-Gallagher Ltd.,True,True,weak,23988.86
batch1-0480,seller_name,"Burns, Padilla and Daniels","Burns, PadillB and Daniels",True,True,mid,9809.8
batch1-0185,seller_name,King Inc,Zenith Global Corp,True,True,strong,237.6
batch1-0193,seller_name,Fox-Reeves,Fox-Reeves,False,False,,1349.08
batch1-0212,seller_name,Hawkins PLC,Pinnacle Trading Ltd.,True,True,strong,178.16
batch1-0496,seller_name,Roberts-Larson,Roberts-Larson Ltd.,True,True,weak,246.28
batch1-0101,seller_name,Phillips-Bailey,Phillips-Bailey,False,False,,5439.26
batch1-0437,seller_name,"Forbes, Young and Fisher","Forbes, Young and Fisher",False,False,,1037.38
batch1-0346,seller_name,"Moran, Harris and Smith","Moran, Harris and Smith",False,False,,190.62
batch1-0272,seller_name,Harris-Thomas,Harris-Thomas,False,False,,129.6
batch1-0013,seller_name,Schmidt LLC,Schmidt LLC,False,False,,237.29
batch1-0270,seller_name,Long LLC,Pinnacle Trading Ltd.,True,True,strong,331.78
batch1-0139,seller_name,Solomon-Murray,Solomon-Murray Ltd.,True,True,weak,743.58
batch1-0103,seller_name,Foster-Beard,Foster-Beard,False,False,,6097.29
batch1-0077,seller_name,Jordan-Cohen,Jordan-Cohen,False,False,,5295.73
batch1-0470,seller_name,Gentry-Villarreal,Gentry-ViBlarreal,True,True,mid,823.66
batch1-0255,seller_name,Kirby PLC,Kirby PLC,False,False,,103.92
batch1-0463,seller_name,Valenzuela PLC,Valenzuela PLC Ltd.,True,True,weak,2069.23
batch1-0140,seller_name,Mckay Inc,Mckay Inc,False,False,,10319.1
batch1-0130,seller_name,"Thompson, Evans and Parker","Thompson, EvaBs and Parker",True,True,mid,66.99
batch1-0047,seller_name,"Davis, Evans and Cooper","Davis, Evans and Cooper Ltd.",True,True,weak,4524.28
batch1-0221,seller_name,Campos LLC,CampBs LLC,True,True,mid,125.23
batch1-0402,seller_name,Murray-Parsons,Murray-Parsons,False,False,,6004.31
batch1-0306,seller_name,Valencia-Pearson,Valencia-Pearson Ltd.,True,True,weak,1330.04
batch1-0290,seller_name,Johns-Brown,Johns-Drown,True,True,mid,5213.9
batch1-0044,seller_name,"Wright, Gonzalez and Gomez","Wright, Gonzalez and Gomez Ltd.",True,True,weak,81.68
batch1-0145,seller_name,Barry-Roberts,Barry-Roberts Ltd.,True,True,weak,6198.39
batch1-0069,seller_name,"Smith, Johnson and Ramsey","Smith, JohnsBn and Ramsey",True,True,mid,162.79
batch1-0177,seller_name,Costa Inc,Costa Incorporated,True,True,weak,19.22
batch1-0413,seller_name,Wang and Sons,Wang and Sons,False,False,,346.19
batch1-0366,seller_name,Williams Ltd,Williams Limited,True,True,weak,697.8
batch1-0146,seller_name,Fleming and Sons,Fleming and Sons,False,False,,205.21
batch1-0269,seller_name,"Wade, Scott and Glover","Wade, Scott and Glover",False,False,,87.96
batch1-0200,seller_name,Skinner-Molina,SkinneB-Molina,True,True,mid,162.72
batch1-0138,seller_name,"Anderson, Brown and Thompson","Anderson, BrowB and Thompson",True,True,mid,73824.49
batch1-0411,seller_name,Carter-Carroll,Carter-Carroll,False,False,,4306.26
batch1-0141,seller_name,"Wood, Nichols and Perry","Wood, NichoBs and Perry",True,True,mid,43.95
batch1-0012,seller_name,"Nicholson, Miller and Webster","Nicholson, Miller and Webster Ltd.",True,True,weak,5459.75
batch1-0456,seller_name,Martinez PLC,Zenith Global Corp,True,True,strong,99.0
batch1-0194,seller_name,Johnson LLC,Zenith Global Corp,True,True,strong,3221.63
batch1-0417,seller_name,"Stone, Fernandez and Swanson","Stone, Fernandez and Swanson Ltd.",True,True,weak,1660.86
batch1-0476,seller_name,"Thompson, Jackson and Ware","Thompson, Jackson and Ware Ltd.",True,True,weak,330.29
batch1-0449,seller_name,"Wright, Pineda and Walker",Pinnacle Trading Ltd.,True,True,strong,17711.25
batch1-0032,seller_name,Coleman Inc,Coleman Inc,False,False,,21151.66
batch1-0100,seller_name,Henderson Group,Henderson Group Ltd.,True,True,weak,235.79
batch1-0483,seller_name,Mcbride-Smith,Pinnacle Trading Ltd.,True,True,strong,205.29
batch1-0250,seller_name,"Smith, Blackburn and Barton","Smith, Blackburn and Barton",False,False,,208.5
batch1-0142,seller_name,Daniel Group,Daniel Group Ltd.,True,True,weak,104.97
batch1-0134,seller_name,"Cervantes, Carpenter and Morse","Cervantes, CarpBnter and Morse",True,True,mid,10818.95
batch1-0135,seller_name,Brown and Sons,Brown aBd Sons,True,True,mid,274.95
batch1-0099,seller_name,"Hernandez, English and Yoder",Pinnacle Trading Ltd.,True,True,strong,495.3
batch1-0029,seller_name,Fitzgerald Group,Fitzgerald Group Ltd.,True,True,weak,7920.58
batch1-0131,seller_name,Hicks-Miller,Pinnacle Trading Ltd.,True,True,strong,74294.55
batch1-0369,seller_name,Miller Inc,Pinnacle Trading Ltd.,True,True,strong,716.27
batch1-0367,seller_name,Day and Sons,Day and Sons,False,False,,93439.3
batch1-0467,seller_name,Dixon-Hebert,Dixon-Bebert,True,True,mid,2149.21
batch1-0400,seller_name,Walker LLC,Meridian Supplies Inc.,True,True,strong,414.67
batch1-0368,seller_name,Horne-Fields,Horne-Fields,False,False,,107.78
batch1-0159,seller_name,"Steele, Trujillo and Becker","Steele, TrujiBlo and Becker",True,True,mid,386.05
batch1-0265,seller_name,Webb-Oconnor,Webb-Oconnor,False,False,,15803.26
batch1-0028,seller_name,"George, Casey and Harris","George, Casey and Harris Ltd.",True,True,weak,1140.24
batch1-0232,seller_name,Ford Ltd,Ford Ltd,False,False,,5553.0
batch1-0464,seller_name,"Raymond, Mejia and Thomas","Raymond, Mejia and Thomas Ltd.",True,True,weak,633.96
batch1-0181,seller_name,Oneill LLC,Oneill LLC Ltd.,True,True,weak,74.8
batch1-0299,seller_name,"Howe, Evans and Velazquez",Pinnacle Trading Ltd.,True,True,strong,191.76
batch1-0007,seller_name,"Wood, Simpson and Summers","Wood, Simpson and Summers",False,False,,5138.35
batch1-0349,seller_name,"Hernandez, Barber and Jones","Hernandez, Barber and Jones",False,False,,7645.22
batch1-0195,seller_name,Tapia-Cline,Tapia-Bline,True,True,mid,47600.71
batch1-0237,seller_name,Brooks Inc,Brooks Inc,False,False,,1022.88
batch1-0373,seller_name,Jones-Silva,Jones-Silva,False,False,,105.6
batch1-0046,seller_name,Wilson-Todd,Wilson-Todd Ltd.,True,True,weak,759.03
batch1-0025,seller_name,"Smith, Schaefer and Gonzalez","Smith, Schaefer and Gonzalez Ltd.",True,True,weak,7920.0
batch1-0246,seller_name,"Stafford, Reynolds and Hood","Stafford, Reynolds and Hood",False,False,,148.44
batch1-0176,seller_name,Friedman-Williams,Pinnacle Trading Ltd.,True,True,strong,56295.35
batch1-0186,seller_name,Small Inc,Small Inc,False,False,,907.4
batch1-0223,seller_name,"Cook, Schwartz and Phillips","Cook, Schwartz and Phillips Ltd.",True,True,weak,111.0
batch1-0036,seller_name,Campbell-Thomas,Meridian Supplies Inc.,True,True,strong,8479.08
batch1-0129,seller_name,"Williams, Brown and Mcmillan","Williams, Brown and Mcmillan",False,False,,891.0
batch1-0016,seller_name,Austin and Sons,Austin and Sons,False,False,,316.1
batch1-0222,seller_name,George and Sons,Zenith Global Corp,True,True,strong,47.77
batch1-0097,seller_name,Short-Dixon,Short-Dixon,False,False,,6208.38
batch1-0076,seller_name,Cooper-Fox,CoopBr-Fox,True,True,mid,187.0
batch1-0052,seller_name,Walton PLC,Zenith Global Corp,True,True,strong,243.71
batch1-0018,seller_name,"Lopez, Murray and Johnston","Lopez, Murray and Johnston Ltd.",True,True,weak,518.8
batch1-0008,seller_name,Hall-Boyd,Zenith Global Corp,True,True,strong,12973.88
batch1-0030,seller_name,"Dalton, Chambers and Howard","Dalton, Chambers and Howard",False,False,,2934.7
batch1-0111,seller_name,"Cross, Pearson and Murillo","Cross, Pearson and Murillo Ltd.",True,True,weak,10.94
batch1-0045,seller_name,"Burns, King and Serrano","Burns, King and Serrano",False,False,,549.98
batch1-0064,seller_name,"White, Young and Johnson",Meridian Supplies Inc.,True,True,strong,5411.82
batch1-0282,seller_name,"Cummings, Lynn and Moran",Meridian Supplies Inc.,True,True,strong,2298.9
batch1-0198,seller_name,Jones-Morris,Jones-Morris Ltd.,True,True,weak,39.51
batch1-0053,seller_name,Chapman-Johnson,Chapman-Johnson,False,False,,73.76
batch1-0033,seller_name,Cook Ltd,Cook Ltd,False,False,,329.84
batch1-0154,seller_name,"Torres, Martin and Robinson","Torres, MartiB and Robinson",True,True,mid,24038.28
batch1-0236,seller_name,"Swanson, Garza and Snyder",Zenith Global Corp,True,True,strong,1100.73
batch1-0043,seller_name,Williamson-Hernandez,Williamson-Hernandez,False,False,,2804.92
batch1-0155,seller_name,Crosby-Cox,Crosby-Cox,False,False,,81508.24
batch1-0358,seller_name,"Gardner, Tucker and Martinez","Gardner, Tucker and Martinez",False,False,,26.53
batch1-0351,seller_name,Poole-Boyle,Poole-Doyle,True,True,mid,109.94
batch1-0183,seller_name,Clayton LLC,Clayton LLC Ltd.,True,True,weak,241.95
batch1-0162,seller_name,"Cain, Thomas and Best","Cain, Thomas and Best Ltd.",True,True,weak,17672.06
batch1-0285,seller_name,Yang-Pierce,Yang-Pierce,False,False,,200.4
batch1-0392,seller_name,Bell LLC,Bell LLC,False,False,,12543.64
batch1-0156,seller_name,Hurst Ltd,Zenith Global Corp,True,True,strong,1704.45
batch1-0150,seller_name,Herrera PLC,Herrera PLC,False,False,,16.45
batch1-0323,seller_name,Anderson-Garcia,Zenith Global Corp,True,True,strong,3153.58
batch1-0465,seller_name,Fisher PLC,Fisher PLC Ltd.,True,True,weak,108.06
batch1-0356,seller_name,Peterson LLC,PeterBon LLC,True,True,mid,264.0
batch1-0233,seller_name,Avila Inc,AvilB Inc,True,True,mid,631.99
batch1-0075,seller_name,Green-Snow,Green-Snow Ltd.,True,True,weak,179.75
batch1-0178,seller_name,Ingram-Mcclain,Ingram-Bcclain,True,True,mid,51998.08
batch1-0211,seller_name,"Smith, Johnson and Cannon",Pinnacle Trading Ltd.,True,True,strong,142.9
batch1-0310,seller_name,Davis-Reyes,Davis-Beyes,True,True,mid,11880.0
batch1-0220,seller_name,"Byrd, Gould and Hill","Byrd, Gould and Hill",False,False,,486.6
batch1-0126,seller_name,"Walker, Andrews and Leblanc",Meridian Supplies Inc.,True,True,strong,274.42
batch1-0022,seller_name,Holmes-Whitney,Holmes-Whitney,False,False,,47320.32
batch1-0240,seller_name,Watson PLC,Watson PLC Ltd.,True,True,weak,126.9
batch1-0339,seller_name,Rodriguez-Barnett,RodrigueB-Barnett,True,True,mid,6146.7
batch1-0248,seller_name,Moore-Hughes,Moore-Hughes Ltd.,True,True,weak,11633.66
batch1-0301,seller_name,Fisher LLC,Fisher LLC Ltd.,True,True,weak,1759.88
batch1-0127,seller_name,Burch PLC,Pinnacle Trading Ltd.,True,True,strong,19.77
batch1-0288,seller_name,Johnston-Douglas,Johnston-Douglas Ltd.,True,True,weak,1.09
batch1-0055,seller_name,Hodge-Stokes,Hodge-Stokes,False,False,,14832.92
batch1-0440,seller_name,"Davila, Reed and Wright","Davila, Reed and Wright",False,False,,8210.08
batch1-0311,seller_name,Mcintyre-Cox,Mcintyre-Cox Ltd.,True,True,weak,122.12
batch1-0197,seller_name,Jordan-Morse,Jordan-Morse,False,False,,9.0
batch1-0438,seller_name,"Robles, Carroll and Pittman","Robles, Carroll and Pittman Ltd.",True,True,weak,76.99
batch1-0262,seller_name,"Brown, Werner and Smith","Brown, WernBr and Smith",True,True,mid,2.18
batch1-0143,seller_name,Ellis-Thomas,Meridian Supplies Inc.,True,True,strong,17740.25
batch1-0332,seller_name,Chavez Ltd,Chavez Ltd,False,False,,1129.39
batch1-0034,seller_name,Hines Ltd,Hines Ltd,False,False,,373.98
batch1-0180,seller_name,Levy-Vargas,Meridian Supplies Inc.,True,True,strong,205.5
batch1-0315,seller_name,"Dickerson, Brewer and Morris",Pinnacle Trading Ltd.,True,True,strong,324.5
batch1-0002,seller_name,Fitzpatrick and Sons,FitzpatriBk and Sons,True,True,mid,6860.45
batch1-0174,seller_name,Hanson Ltd,HansBn Ltd,True,True,mid,15937.63
batch1-0144,seller_name,"Stephens, Lopez and Ramirez","Stephens, Lopez and Ramirez",False,False,,415.73
batch1-0068,seller_name,King PLC,King PLC,False,False,,2779.7
batch1-0334,seller_name,Duncan Ltd,Duncan Limited,True,True,weak,50.05
batch1-0110,seller_name,"Wagner, Jensen and Key","Wagner, Jensen and Key",False,False,,1669.75
batch1-0112,seller_name,Spencer Group,Spencer Group,False,False,,178.83
batch1-0079,seller_name,Obrien Inc,Zenith Global Corp,True,True,strong,62778.56
batch1-0441,seller_name,Vega Inc,Vega Inc,False,False,,924.44
batch1-0062,seller_name,"Martin, Graham and Newman","Martin, Graham and Newman Ltd.",True,True,weak,84314.78
batch1-0281,seller_name,Tucker-Shaw,Tucker-Shaw,False,False,,99.88
batch1-0125,seller_name,Lambert-Gomez,Lambert-Gomez Ltd.,True,True,weak,1084.56
batch1-0294,seller_name,"Underwood, Rowe and Peterson","Underwood, RowB and Peterson",True,True,mid,989.67
batch1-0347,seller_name,"Henderson, Brown and Carson","Henderson, Brown and Carson Ltd.",True,True,weak,2099.42
batch1-0238,seller_name,"Shah, Parsons and Shea",Meridian Supplies Inc.,True,True,strong,3065.64
batch1-0291,seller_name,Simon-Colon,Simon-Colon Ltd.,True,True,weak,9645.88
batch1-0133,seller_name,Preston Inc,Preston Incorporated,True,True,weak,3454.44
batch1-0148,seller_name,"Garcia, Avery and Hernandez",Pinnacle Trading Ltd.,True,True,strong,1721.01
batch1-0218,seller_name,Morales-Snyder,Morales-Snyder,False,False,,78.58
batch1-0371,seller_name,Lewis and Sons,Lewis aBd Sons,True,True,mid,329.99
batch1-0184,seller_name,Flores and Sons,Flores and Sons,False,False,,150.19
batch1-0284,seller_name,"Williams, Boone and Allen",Pinnacle Trading Ltd.,True,True,strong,2194.5
batch1-0396,seller_name,Sparks-Garcia,Sparks-Garcia,False,False,,337.45
batch1-0106,seller_name,Salazar-Zavala,Meridian Supplies Inc.,True,True,strong,465.17
batch1-0430,seller_name,Kaufman-Martin,Zenith Global Corp,True,True,strong,70053.37
batch1-0378,seller_name,Duran Group,Duran Group Ltd.,True,True,weak,131.92
batch1-0074,seller_name,Peterson LLC,PeterBon LLC,True,True,mid,4151.23
batch1-0213,seller_name,"Franklin, Wilson and Moore","Franklin, Wilson and Moore",False,False,,38879.73
batch1-0324,seller_name,Rivas PLC,RivaB PLC,True,True,mid,198.0
batch1-0397,seller_name,Cook and Sons,Meridian Supplies Inc.,True,True,strong,159.45
batch1-0423,seller_name,"Smith, Gonzalez and Wallace","Smith, Gonzalez and Wallace Ltd.",True,True,weak,5597.66
batch1-0086,seller_name,"Moore, Gallagher and Villanueva","Moore, Gallagher and Villanueva Ltd.",True,True,weak,1237.5
batch1-0121,seller_name,"Sanchez, Richards and James","Sanchez, Richards and James Ltd.",True,True,weak,791.96
batch1-0088,seller_name,Kim-Davenport,Kim-Davenport Ltd.,True,True,weak,500.24
batch1-0152,seller_name,"Edwards, Smith and Foster","Edwards, SmiBh and Foster",True,True,mid,161.94
batch1-0117,seller_name,James LLC,James LLC Ltd.,True,True,weak,375.04
batch1-0190,seller_name,Reyes-Ellis,Reyes-Bllis,True,True,mid,638.57
batch1-0201,seller_name,Dominguez LLC,Meridian Supplies Inc.,True,True,strong,1159.39
batch1-0445,seller_name,Bennett PLC,Bennett PLC,False,False,,1770.9
