cond,kind,model,file_name,got,cond_value,truth,pred
amount_0.1,amount,granite,batch1-1273,280.5,280.78,True,True
amount_0.1,amount,granite,batch1-1226,1393.63,1395.02,True,True
amount_0.1,amount,granite,batch1-0427,3756.43,3756.43,False,False
amount_0.1,amount,granite,batch1-0964,33794.35,33794.35,False,False
amount_0.1,amount,granite,batch1-0809,60.45,60.45,False,False
amount_0.1,amount,granite,batch1-0283,314.27,313.96,True,True
amount_0.1,amount,granite,batch1-0796,882.05,881.17,True,True
amount_0.1,amount,granite,batch1-1439,2463.78,2466.24,True,True
amount_0.1,amount,granite,batch1-0367,93439.3,93439.3,False,False
amount_0.1,amount,granite,batch1-0452,39.53,39.57,True,True
amount_0.1,amount,granite,batch1-0108,360.58,360.58,False,False
amount_0.1,amount,granite,batch1-0824,589.41,589.41,False,False
amount_0.1,amount,granite,batch1-0851,5224.97,5224.97,False,False
amount_0.1,amount,granite,batch1-0560,14030.36,14044.39,True,True
amount_0.1,amount,granite,batch1-0428,10.98,10.97,False,False
amount_0.1,amount,granite,batch1-0897,341.63,341.29,True,True
amount_0.1,amount,granite,batch1-1178,675.82,675.82,False,False
amount_0.1,amount,granite,batch1-1290,1512.48,1513.99,True,True
amount_0.1,amount,granite,batch1-0120,9908.95,9918.86,True,True
amount_0.1,amount,granite,batch1-0903,111.07,111.18,True,True
amount_0.1,amount,granite,batch1-0705,255.64,255.9,True,True
amount_0.1,amount,granite,batch1-1046,686.02,624.27,True,True
amount_0.1,amount,granite,batch1-0816,2172.39,2170.22,True,True
amount_0.1,amount,granite,batch1-0677,16231.52,16231.52,False,False
amount_0.1,amount,granite,batch1-1185,14.0,13.99,False,False
amount_0.1,amount,granite,batch1-0569,224.75,224.53,True,True
amount_0.1,amount,granite,batch1-0914,529.9,530.43,True,True
amount_0.1,amount,granite,batch1-0697,4113.92,4109.81,True,True
amount_0.1,amount,granite,batch1-1319,17820.0,17802.18,True,True
amount_0.1,amount,granite,batch1-0223,111.0,110.89,True,True
amount_0.1,amount,granite,batch1-1261,306.44,306.13,True,True
amount_0.1,amount,granite,batch1-1075,582.7,582.12,True,True
amount_0.1,amount,granite,batch1-0463,2069.23,2067.16,True,True
amount_0.1,amount,granite,batch1-0859,36623.38,36660.0,True,True
amount_0.1,amount,granite,batch1-0549,70.52,70.52,False,False
amount_0.1,amount,granite,batch1-0772,195.31,195.11,True,True
amount_0.1,amount,granite,batch1-0556,566.78,567.35,True,True
amount_0.1,amount,granite,batch1-1026,3157.01,3153.85,True,True
amount_0.1,amount,granite,batch1-0231,18614.34,18632.95,True,True
amount_0.1,amount,granite,batch1-1115,16.47,16.45,True,True
amount_0.1,amount,granite,batch1-1047,395.99,396.39,True,True
amount_0.1,amount,granite,batch1-1122,422.55,422.13,True,True
amount_0.1,amount,granite,batch1-0133,3454.44,3450.99,True,True
amount_0.1,amount,granite,batch1-0245,158490.25,158490.25,False,False
amount_0.1,amount,granite,batch1-0674,65.98,66.05,True,True
amount_0.1,amount,granite,batch1-0481,395.75,396.15,True,True
amount_0.1,amount,granite,batch1-1331,760.48,760.48,False,False
amount_0.1,amount,granite,batch1-0279,3255.91,3255.91,False,False
amount_0.1,amount,granite,batch1-0766,31774.49,31774.49,False,False
amount_0.1,amount,granite,batch1-1464,83.89,83.89,False,False
amount_0.1,amount,granite,batch1-0933,328.83,329.16,True,True
amount_0.1,amount,granite,batch1-0377,692.78,693.47,True,True
amount_0.1,amount,granite,batch1-0012,5459.75,5454.29,True,True
amount_0.1,amount,granite,batch1-0050,25738.94,25764.68,True,True
amount_0.1,amount,granite,batch1-0793,31.02,30.99,True,True
amount_0.1,amount,granite,batch1-1341,238.11,237.87,True,True
amount_0.1,amount,granite,batch1-1148,1221.77,1222.99,True,True
amount_0.1,amount,granite,batch1-0522,3834.16,3830.33,True,True
amount_0.1,amount,granite,batch1-1025,15416.49,15401.07,True,True
amount_0.1,amount,granite,batch1-0169,25.52,25.55,True,True
amount_0.1,amount,granite,batch1-1231,188.09,188.09,False,False
amount_0.1,amount,granite,batch1-1381,538.67,538.13,True,True
amount_0.1,amount,granite,batch1-0710,4272.92,4268.65,True,True
amount_0.1,amount,granite,batch1-0686,19330.41,19311.08,True,True
amount_0.1,amount,granite,batch1-1109,138.9,138.76,True,True
amount_0.1,amount,granite,batch1-1287,173.8,173.97,True,True
amount_0.1,amount,granite,batch1-1434,631.31,631.31,False,False
amount_0.1,amount,granite,batch1-1169,4845.38,4845.38,False,False
amount_0.1,amount,granite,batch1-0026,9256.59,9256.59,False,False
amount_0.1,amount,granite,batch1-1051,110.0,110.0,False,False
amount_0.1,amount,granite,batch1-1090,293.05,293.05,False,False
amount_0.1,amount,granite,batch1-0932,916.21,915.29,True,True
amount_0.1,amount,granite,batch1-0238,3065.64,3068.71,True,True
amount_0.1,amount,granite,batch1-0449,17711.25,17693.54,True,True
amount_0.1,amount,granite,batch1-1123,37.05,37.01,True,True
amount_0.1,amount,granite,batch1-1403,219.89,219.67,True,True
amount_0.1,amount,granite,batch1-1071,1126.13,1126.13,False,False
amount_0.1,amount,granite,batch1-1266,2858.84,2861.7,True,True
amount_0.1,amount,granite,batch1-1222,44262.48,44218.22,True,True
amount_0.1,amount,granite,batch1-0846,97.33,97.43,True,True
amount_0.1,amount,granite,batch1-1166,228.71,228.71,False,False
amount_0.1,amount,granite,batch1-1469,1129.04,1130.17,True,True
amount_0.1,amount,granite,batch1-0883,2345.76,2345.76,False,False
amount_0.1,amount,granite,batch1-0434,20986.37,20965.38,True,True
amount_0.1,amount,granite,batch1-0060,32.83,32.83,False,False
amount_0.1,amount,granite,batch1-0126,274.42,274.69,True,True
amount_0.1,amount,granite,batch1-0454,993.96,993.96,False,False
amount_0.1,amount,granite,batch1-0717,4618.75,4614.13,True,True
amount_0.1,amount,granite,batch1-1068,33527.36,33560.89,True,True
amount_0.1,amount,granite,batch1-0167,95.22,86.47,True,True
amount_0.1,amount,granite,batch1-0292,328.2,328.2,False,False
amount_0.1,amount,granite,batch1-0266,760.1,760.1,False,False
amount_0.1,amount,granite,batch1-0981,3490.29,3490.29,False,False
amount_0.1,amount,granite,batch1-0174,15937.63,15953.57,True,True
amount_0.1,amount,granite,batch1-1473,102.3,102.4,True,True
amount_0.1,amount,granite,batch1-0100,235.79,236.03,True,True
amount_0.1,amount,granite,batch1-0716,415.75,415.33,True,True
amount_0.1,amount,granite,batch1-1377,5256.04,5261.3,True,True
amount_0.1,amount,granite,batch1-0692,7397.59,7404.99,True,True
amount_0.1,amount,granite,batch1-0374,6.6,6.61,True,True
amount_0.1,amount,granite,batch1-1225,285.95,286.24,True,True
amount_0.1,amount,granite,batch1-1344,816.49,815.67,True,True
amount_0.1,amount,granite,batch1-0764,3766.06,3769.83,True,True
amount_0.1,amount,granite,batch1-0286,18471.6,18453.13,True,True
amount_0.1,amount,granite,batch1-0843,10.99,10.98,False,False
amount_0.1,amount,granite,batch1-0049,342.87,343.21,True,True
amount_0.1,amount,granite,batch1-1132,767.32,766.55,True,True
amount_0.1,amount,granite,batch1-0757,1682.77,1682.77,False,False
amount_0.1,amount,granite,batch1-1484,7096.28,7103.38,True,True
amount_0.1,amount,granite,batch1-1124,158.4,158.56,True,True
amount_0.1,amount,granite,batch1-1453,365.2,365.2,False,False
amount_0.1,amount,granite,batch1-1134,577.31,576.73,True,True
amount_0.1,amount,granite,batch1-1297,6494.81,6494.81,False,False
amount_0.1,amount,granite,batch1-0134,10818.95,10808.13,True,True
amount_0.1,amount,paddle,batch1-0182,127.31,127.44,True,True
amount_0.1,amount,paddle,batch1-1294,192.5,192.31,True,True
amount_0.1,amount,paddle,batch1-1100,500.29,500.79,True,True
amount_0.1,amount,paddle,batch1-0345,6591.93,6585.34,True,True
amount_0.1,amount,paddle,batch1-1375,21089.9,21068.81,True,True
amount_0.1,amount,paddle,batch1-0474,44.28,44.28,False,False
amount_0.1,amount,paddle,batch1-1224,165.42,165.25,True,True
amount_0.1,amount,paddle,batch1-0572,462.77,462.31,True,True
amount_0.1,amount,paddle,batch1-0475,1883.91,1885.79,True,True
amount_0.1,amount,paddle,batch1-1480,9556.58,9547.02,True,True
amount_0.1,amount,paddle,batch1-0742,119.23,119.11,True,True
amount_0.1,amount,paddle,batch1-0884,275.0,275.27,True,True
amount_0.1,amount,paddle,batch1-0864,893.82,812.56,False,True
amount_0.1,amount,paddle,batch1-1165,6640.07,6633.43,True,True
amount_0.1,amount,paddle,batch1-0415,21710.03,21731.74,True,True
amount_0.1,amount,paddle,batch1-0471,40.3,40.3,False,False
amount_0.1,amount,paddle,batch1-0902,181.5,181.32,True,True
amount_0.1,amount,paddle,batch1-1019,409.05,409.46,True,True
amount_0.1,amount,paddle,batch1-0093,2235.2,2232.96,True,True
amount_0.1,amount,paddle,batch1-0704,32880.8,32913.68,True,True
amount_0.1,amount,paddle,batch1-0790,4.94,4.94,False,False
amount_0.1,amount,paddle,batch1-0296,169.25,169.08,True,True
amount_0.1,amount,paddle,batch1-1055,459.79,460.25,True,True
amount_0.1,amount,paddle,batch1-0336,4746.42,4751.17,True,True
amount_0.1,amount,paddle,batch1-1325,39935.77,39935.77,False,False
amount_0.1,amount,paddle,batch1-0724,55.66,55.66,False,False
amount_0.1,amount,paddle,batch1-1151,331.99,332.32,True,True
amount_0.1,amount,paddle,batch1-0088,500.24,499.74,True,True
amount_0.1,amount,paddle,batch1-1349,4783.7,4783.7,False,False
amount_0.1,amount,paddle,batch1-0817,55378.76,55378.76,False,False
amount_0.1,amount,paddle,batch1-0397,159.45,159.29,True,True
amount_0.1,amount,paddle,batch1-0979,220.44,220.22,True,True
amount_0.1,amount,paddle,batch1-0165,698.89,698.89,False,False
amount_0.1,amount,paddle,batch1-1312,1980.0,1981.98,True,True
amount_0.1,amount,paddle,batch1-0500,34486.08,34451.59,True,True
amount_0.1,amount,paddle,batch1-0073,53.96,54.01,True,True
amount_0.1,amount,paddle,batch1-1273,280.5,280.78,True,True
amount_0.1,amount,paddle,batch1-1226,1393.63,1395.02,True,True
amount_0.1,amount,paddle,batch1-0427,3756.43,3756.43,False,False
amount_0.1,amount,paddle,batch1-0964,33794.35,33794.35,False,False
amount_0.1,amount,paddle,batch1-0809,60.45,60.45,False,False
amount_0.1,amount,paddle,batch1-0283,314.27,313.96,True,True
amount_0.1,amount,paddle,batch1-0796,882.05,881.17,True,True
amount_0.1,amount,paddle,batch1-1439,2463.78,2466.24,True,True
amount_0.1,amount,paddle,batch1-0367,93439.3,93439.3,False,False
amount_0.1,amount,paddle,batch1-0452,39.53,39.57,True,True
amount_0.1,amount,paddle,batch1-0108,360.58,360.58,False,False
amount_0.1,amount,paddle,batch1-0824,589.41,589.41,False,False
amount_0.1,amount,paddle,batch1-0851,5224.97,5224.97,False,False
amount_0.1,amount,paddle,batch1-0560,14030.36,14044.39,True,True
amount_0.1,amount,paddle,batch1-0428,10.98,10.97,False,False
amount_0.1,amount,paddle,batch1-0897,341.63,341.29,True,True
amount_0.1,amount,paddle,batch1-1178,675.82,675.82,False,False
amount_0.1,amount,paddle,batch1-1290,1512.48,1513.99,True,True
amount_0.1,amount,paddle,batch1-0120,9908.95,9918.86,True,True
amount_0.1,amount,paddle,batch1-0903,111.07,111.18,True,True
amount_0.1,amount,paddle,batch1-0705,255.64,255.9,True,True
amount_0.1,amount,paddle,batch1-1046,686.02,624.27,True,True
amount_0.1,amount,paddle,batch1-0816,2172.39,2170.22,True,True
amount_0.1,amount,paddle,batch1-0677,16231.52,16231.52,False,False
amount_0.1,amount,paddle,batch1-1185,14.0,13.99,False,False
amount_0.1,amount,paddle,batch1-0569,224.75,224.53,True,True
amount_0.1,amount,paddle,batch1-0914,529.9,530.43,True,True
amount_0.1,amount,paddle,batch1-0697,4113.92,4109.81,True,True
amount_0.1,amount,paddle,batch1-1319,17820.0,17802.18,True,True
amount_0.1,amount,paddle,batch1-0223,111.0,110.89,True,True
amount_0.1,amount,paddle,batch1-1261,306.44,306.13,True,True
amount_0.1,amount,paddle,batch1-1075,582.7,582.12,True,True
amount_0.1,amount,paddle,batch1-0463,2069.23,2067.16,True,True
amount_0.1,amount,paddle,batch1-0859,36623.38,36660.0,True,True
amount_0.1,amount,paddle,batch1-0549,70.52,70.52,False,False
amount_0.1,amount,paddle,batch1-0772,195.31,195.11,True,True
amount_0.1,amount,paddle,batch1-0556,566.78,567.35,True,True
amount_0.1,amount,paddle,batch1-1026,3157.01,3153.85,True,True
amount_0.1,amount,paddle,batch1-0231,18614.34,18632.95,True,True
amount_0.1,amount,paddle,batch1-1115,16.47,16.45,True,True
amount_0.1,amount,paddle,batch1-1047,395.99,396.39,True,True
amount_0.1,amount,paddle,batch1-1122,422.55,422.13,True,True
amount_0.1,amount,paddle,batch1-0133,3454.44,3450.99,True,True
amount_0.1,amount,paddle,batch1-0245,158490.25,158490.25,False,False
amount_0.1,amount,paddle,batch1-0674,65.98,66.05,True,True
amount_0.1,amount,paddle,batch1-0481,395.75,396.15,True,True
amount_0.1,amount,paddle,batch1-1331,760.48,760.48,False,False
amount_0.1,amount,paddle,batch1-0279,3255.91,3255.91,False,False
amount_0.1,amount,paddle,batch1-0766,31774.49,31774.49,False,False
amount_0.1,amount,paddle,batch1-1464,83.89,83.89,False,False
amount_0.1,amount,paddle,batch1-0933,328.83,329.16,True,True
amount_0.1,amount,paddle,batch1-0377,692.78,693.47,True,True
amount_0.1,amount,paddle,batch1-0012,5459.75,5454.29,True,True
amount_0.1,amount,paddle,batch1-0050,25738.94,25764.68,True,True
amount_0.1,amount,paddle,batch1-0793,31.02,30.99,True,True
amount_0.1,amount,paddle,batch1-1341,238.11,237.87,True,True
amount_0.1,amount,paddle,batch1-1148,1221.77,1222.99,True,True
amount_0.1,amount,paddle,batch1-0522,3834.16,3830.33,True,True
amount_0.1,amount,paddle,batch1-1025,15416.49,15401.07,True,True
amount_0.1,amount,paddle,batch1-0169,25.52,25.55,True,True
amount_0.1,amount,paddle,batch1-1231,188.09,188.09,False,False
amount_0.1,amount,paddle,batch1-1381,538.67,538.13,True,True
amount_0.1,amount,paddle,batch1-0710,4272.92,4268.65,True,True
amount_0.1,amount,paddle,batch1-0686,19330.41,19311.08,True,True
amount_0.1,amount,paddle,batch1-1109,138.9,138.76,True,True
amount_0.1,amount,paddle,batch1-1287,173.8,173.97,True,True
amount_0.1,amount,paddle,batch1-1434,631.31,631.31,False,False
amount_0.1,amount,paddle,batch1-1169,4845.38,4845.38,False,False
amount_0.1,amount,paddle,batch1-0026,9256.59,9256.59,False,False
amount_0.1,amount,paddle,batch1-1051,110.0,110.0,False,False
amount_0.1,amount,paddle,batch1-1090,293.05,293.05,False,False
amount_0.1,amount,paddle,batch1-0932,916.21,915.29,True,True
amount_0.1,amount,paddle,batch1-0238,3065.64,3068.71,True,True
amount_0.1,amount,paddle,batch1-0449,17711.25,17693.54,True,True
amount_0.1,amount,paddle,batch1-1123,37.05,37.01,True,True
amount_0.1,amount,paddle,batch1-1403,219.89,219.67,True,True
amount_0.1,amount,paddle,batch1-1071,1126.13,1126.13,False,False
amount_0.1,amount,paddle,batch1-1266,2858.84,2861.7,True,True
amount_0.1,amount,paddle,batch1-1222,44262.48,44218.22,True,True
amount_0.1,amount,paddle,batch1-0846,97.33,97.43,True,True
amount_0.1,amount,paddle,batch1-1166,228.71,228.71,False,False
amount_0.1,amount,paddle,batch1-1469,1129.04,1130.17,True,True
amount_0.1,amount,paddle,batch1-0883,2345.76,2345.76,False,False
amount_0.1,amount,paddle,batch1-0434,20986.37,20965.38,True,True
amount_0.1,amount,paddle,batch1-0060,32.83,32.83,False,False
amount_0.1,amount,paddle,batch1-0126,274.42,274.69,True,True
amount_0.1,amount,paddle,batch1-0454,993.96,993.96,False,False
amount_0.1,amount,paddle,batch1-0717,4618.75,4614.13,True,True
amount_0.1,amount,paddle,batch1-1068,33527.36,33560.89,True,True
amount_0.1,amount,paddle,batch1-0167,95.22,86.47,True,True
amount_0.1,amount,paddle,batch1-0292,328.2,328.2,False,False
amount_0.1,amount,paddle,batch1-0266,760.1,760.1,False,False
amount_0.1,amount,paddle,batch1-0981,3490.29,3490.29,False,False
amount_0.1,amount,paddle,batch1-0174,15937.63,15953.57,True,True
amount_0.1,amount,paddle,batch1-1473,102.3,102.4,True,True
amount_0.1,amount,paddle,batch1-0100,235.79,236.03,True,True
amount_0.1,amount,paddle,batch1-0716,415.75,415.33,True,True
amount_0.1,amount,paddle,batch1-1377,5256.04,5261.3,True,True
amount_0.1,amount,paddle,batch1-0692,7397.59,7404.99,True,True
amount_0.1,amount,paddle,batch1-0374,6.6,6.61,True,True
amount_0.1,amount,paddle,batch1-1225,285.95,286.24,True,True
amount_0.1,amount,paddle,batch1-1344,816.49,815.67,True,True
amount_0.1,amount,paddle,batch1-0764,3766.06,3769.83,True,True
amount_0.1,amount,paddle,batch1-0286,18471.6,18453.13,True,True
amount_0.1,amount,paddle,batch1-0843,10.99,10.98,False,False
amount_0.1,amount,paddle,batch1-0049,342.87,343.21,True,True
amount_0.1,amount,paddle,batch1-1132,767.32,766.55,True,True
amount_0.1,amount,paddle,batch1-0757,1682.77,1682.77,False,False
amount_0.1,amount,paddle,batch1-1484,7096.28,7103.38,True,True
amount_0.1,amount,paddle,batch1-1124,158.4,158.56,True,True
amount_0.1,amount,paddle,batch1-1453,365.2,365.2,False,False
amount_0.1,amount,paddle,batch1-1134,577.31,576.73,True,True
amount_0.1,amount,paddle,batch1-1297,6494.81,6494.81,False,False
amount_0.1,amount,paddle,batch1-0134,10818.95,10808.13,True,True
amount_1,amount,granite,batch1-0182,127.31,128.58,True,True
amount_1,amount,granite,batch1-1294,192.5,190.58,True,True
amount_1,amount,granite,batch1-1100,500.29,505.29,True,True
amount_1,amount,granite,batch1-0345,6591.93,6526.01,True,True
amount_1,amount,granite,batch1-1375,21089.9,20879.0,True,True
amount_1,amount,granite,batch1-0474,44.28,44.28,False,False
amount_1,amount,granite,batch1-1224,165.42,163.77,True,True
amount_1,amount,granite,batch1-0572,462.77,458.14,True,True
amount_1,amount,granite,batch1-0475,1883.91,1902.75,True,True
amount_1,amount,granite,batch1-1480,9556.58,9461.01,True,True
amount_1,amount,granite,batch1-0742,119.23,118.04,True,True
amount_1,amount,granite,batch1-0884,275.0,277.75,True,True
amount_1,amount,granite,batch1-0864,893.82,812.56,False,True
amount_1,amount,granite,batch1-1165,6640.07,6573.67,True,True
amount_1,amount,granite,batch1-0415,21710.03,21927.13,True,True
amount_1,amount,granite,batch1-0471,40.3,40.3,False,False
amount_1,amount,granite,batch1-0902,181.5,179.68,True,True
amount_1,amount,granite,batch1-1019,409.05,413.14,True,True
amount_1,amount,granite,batch1-0093,2235.2,2212.85,True,True
amount_1,amount,granite,batch1-0704,32880.8,33209.61,True,True
amount_1,amount,granite,batch1-0790,4.94,4.89,True,True
amount_1,amount,granite,batch1-0296,169.25,167.56,True,True
amount_1,amount,granite,batch1-1055,459.79,464.39,True,True
amount_1,amount,granite,batch1-0336,4746.42,4793.88,True,True
amount_1,amount,granite,batch1-1325,39935.77,39935.77,False,False
amount_1,amount,granite,batch1-0724,55.66,55.66,False,False
amount_1,amount,granite,batch1-1151,331.99,335.31,True,True
amount_1,amount,granite,batch1-0088,500.24,495.24,True,True
amount_1,amount,granite,batch1-1349,4783.7,4783.7,False,False
amount_1,amount,granite,batch1-0817,55378.76,55378.76,False,False
amount_1,amount,granite,batch1-0397,159.45,157.86,True,True
amount_1,amount,granite,batch1-0979,220.44,218.24,True,True
amount_1,amount,granite,batch1-0165,698.89,698.89,False,False
amount_1,amount,granite,batch1-1312,1980.0,1999.8,True,True
amount_1,amount,granite,batch1-0500,34486.08,34141.22,True,True
amount_1,amount,granite,batch1-0073,53.96,54.5,True,True
amount_1,amount,granite,batch1-1273,280.5,283.3,True,True
amount_1,amount,granite,batch1-1226,1393.63,1407.57,True,True
amount_1,amount,granite,batch1-0427,3756.43,3756.43,False,False
amount_1,amount,granite,batch1-0964,33794.35,33794.35,False,False
amount_1,amount,granite,batch1-0809,60.45,60.45,False,False
amount_1,amount,granite,batch1-0283,314.27,311.13,True,True
amount_1,amount,granite,batch1-0796,882.05,873.23,True,True
amount_1,amount,granite,batch1-1439,2463.78,2488.42,True,True
amount_1,amount,granite,batch1-0367,93439.3,93439.3,False,False
amount_1,amount,granite,batch1-0452,39.53,39.93,True,True
amount_1,amount,granite,batch1-0108,360.58,360.58,False,False
amount_1,amount,granite,batch1-0824,589.41,589.41,False,False
amount_1,amount,granite,batch1-0851,5224.97,5224.97,False,False
amount_1,amount,granite,batch1-0560,14030.36,14170.66,True,True
amount_1,amount,granite,batch1-0428,10.98,10.87,True,True
amount_1,amount,granite,batch1-0897,341.63,338.21,True,True
amount_1,amount,granite,batch1-1178,675.82,675.82,False,False
amount_1,amount,granite,batch1-1290,1512.48,1527.6,True,True
amount_1,amount,granite,batch1-0120,9908.95,10008.04,True,True
amount_1,amount,granite,batch1-0903,111.07,112.18,True,True
amount_1,amount,granite,batch1-0705,255.64,258.2,True,True
amount_1,amount,granite,batch1-1046,686.02,629.89,True,True
amount_1,amount,granite,batch1-0816,2172.39,2150.67,True,True
amount_1,amount,granite,batch1-0677,16231.52,16231.52,False,False
amount_1,amount,granite,batch1-1185,14.0,13.86,True,True
amount_1,amount,granite,batch1-0569,224.75,222.5,True,True
amount_1,amount,granite,batch1-0914,529.9,535.2,True,True
amount_1,amount,granite,batch1-0697,4113.92,4072.78,True,True
amount_1,amount,granite,batch1-1319,17820.0,17641.8,True,True
amount_1,amount,granite,batch1-0223,111.0,109.89,True,True
amount_1,amount,granite,batch1-1261,306.44,303.38,True,True
amount_1,amount,granite,batch1-1075,582.7,576.87,True,True
amount_1,amount,granite,batch1-0463,2069.23,2048.54,True,True
amount_1,amount,granite,batch1-0859,36623.38,36989.61,True,True
amount_1,amount,granite,batch1-0549,70.52,70.52,False,False
amount_1,amount,granite,batch1-0772,195.31,193.36,True,True
amount_1,amount,granite,batch1-0556,566.78,572.45,True,True
amount_1,amount,granite,batch1-1026,3157.01,3125.44,True,True
amount_1,amount,granite,batch1-0231,18614.34,18800.48,True,True
amount_1,amount,granite,batch1-1115,16.47,16.31,True,True
amount_1,amount,granite,batch1-1047,395.99,399.95,True,True
amount_1,amount,granite,batch1-1122,422.55,418.32,True,True
amount_1,amount,granite,batch1-0133,3454.44,3419.9,True,True
amount_1,amount,granite,batch1-0245,158490.25,158490.25,False,False
amount_1,amount,granite,batch1-0674,65.98,66.64,True,True
amount_1,amount,granite,batch1-0481,395.75,399.71,True,True
amount_1,amount,granite,batch1-1331,760.48,760.48,False,False
amount_1,amount,granite,batch1-0279,3255.91,3255.91,False,False
amount_1,amount,granite,batch1-0766,31774.49,31774.49,False,False
amount_1,amount,granite,batch1-1464,83.89,83.89,False,False
amount_1,amount,granite,batch1-0933,328.83,332.12,True,True
amount_1,amount,granite,batch1-0377,692.78,699.71,True,True
amount_1,amount,granite,batch1-0012,5459.75,5405.15,True,True
amount_1,amount,granite,batch1-0050,25738.94,25996.33,True,True
amount_1,amount,granite,batch1-0793,31.02,30.71,True,True
amount_1,amount,granite,batch1-1341,238.11,235.73,True,True
amount_1,amount,granite,batch1-1148,1221.77,1233.99,True,True
amount_1,amount,granite,batch1-0522,3834.16,3795.82,True,True
amount_1,amount,granite,batch1-1025,15416.49,15262.33,True,True
amount_1,amount,granite,batch1-0169,25.52,25.78,True,True
amount_1,amount,granite,batch1-1231,188.09,188.09,False,False
amount_1,amount,granite,batch1-1381,538.67,533.28,True,True
amount_1,amount,granite,batch1-0710,4272.92,4230.19,True,True
amount_1,amount,granite,batch1-0686,19330.41,19137.11,True,True
amount_1,amount,granite,batch1-1109,138.9,137.51,True,True
amount_1,amount,granite,batch1-1287,173.8,175.54,True,True
amount_1,amount,granite,batch1-1434,631.31,631.31,False,False
amount_1,amount,granite,batch1-1169,4845.38,4845.38,False,False
amount_1,amount,granite,batch1-0026,9256.59,9256.59,False,False
amount_1,amount,granite,batch1-1051,110.0,110.0,False,False
amount_1,amount,granite,batch1-1090,293.05,293.05,False,False
amount_1,amount,granite,batch1-0932,916.21,907.05,True,True
amount_1,amount,granite,batch1-0238,3065.64,3096.3,True,True
amount_1,amount,granite,batch1-0449,17711.25,17534.14,True,True
amount_1,amount,granite,batch1-1123,37.05,36.68,True,True
amount_1,amount,granite,batch1-1403,219.89,217.69,True,True
amount_1,amount,granite,batch1-1071,1126.13,1126.13,False,False
amount_1,amount,granite,batch1-1266,2858.84,2887.43,True,True
amount_1,amount,granite,batch1-1222,44262.48,43819.86,True,True
amount_1,amount,granite,batch1-0846,97.33,98.3,True,True
amount_1,amount,granite,batch1-1166,228.71,228.71,False,False
amount_1,amount,granite,batch1-1469,1129.04,1140.33,True,True
amount_1,amount,granite,batch1-0883,2345.76,2345.76,False,False
amount_1,amount,granite,batch1-0434,20986.37,20776.51,True,True
amount_1,amount,granite,batch1-0060,32.83,32.83,False,False
amount_1,amount,granite,batch1-0126,274.42,277.16,True,True
amount_1,amount,granite,batch1-0454,993.96,993.96,False,False
amount_1,amount,granite,batch1-0717,4618.75,4572.56,True,True
amount_1,amount,granite,batch1-1068,33527.36,33862.63,True,True
amount_1,amount,granite,batch1-0167,95.22,85.69,True,True
amount_1,amount,granite,batch1-0292,328.2,328.2,False,False
