model,file_name,amt_got,amt_ans,amt_extracted,amt_correct,date_got,date_ans,date_extracted,date_correct,name_got,name_ans,name_extracted,name_correct
granite,batch1-1025,15416.49,15416.49,True,True,11/08/2019,11/08/2019,True,True,"Zuniga, Short and Jensen","Zuniga, Short and Jensen",True,True
granite,batch1-0169,25.52,25.52,True,True,05/10/2019,05/10/2019,True,True,"Gutierrez, Shah and Davis","Gutierrez, Shah and Davis",True,True
granite,batch1-1231,188.09,188.09,True,True,09/30/2019,09/30/2019,True,True,"Sexton, Rivera and Pineda","Sexton, Rivera and Pineda",True,True
granite,batch1-1381,538.67,538.67,True,True,08/23/2015,08/23/2015,True,True,Forbes LLC,Forbes LLC,True,True
granite,batch1-0710,4272.92,4272.92,True,True,05/09/2016,05/09/2016,True,True,Benton PLC,Benton PLC,True,True
granite,batch1-0686,19330.41,19330.41,True,True,04/09/2015,04/09/2015,True,True,Jones-Torres,Jones-Torres,True,True
granite,batch1-1109,138.9,138.9,True,True,07/03/2013,07/03/2013,True,True,Cruz PLC,Cruz PLC,True,True
granite,batch1-1287,173.8,173.8,True,True,12/29/2018,12/29/2018,True,True,Mcguire PLC,Mcguire PLC,True,True
granite,batch1-1434,631.31,631.31,True,True,10/16/2011,10/16/2011,True,True,"Jones, Carroll and Carpenter","Jones, Carroll and Carpenter",True,True
granite,batch1-1169,4845.38,4845.38,True,True,11/30/2015,11/30/2015,True,True,Rosario-Ross,Rosario-Ross,True,True
granite,batch1-0026,9256.59,9256.59,True,True,01/05/2017,01/05/2017,True,True,Sims-Olson,Sims-Olson,True,True
granite,batch1-1051,110.0,110.0,True,True,01/06/2016,01/06/2016,True,True,Morse PLC,Morse PLC,True,True
granite,batch1-1090,293.05,293.05,True,True,09/06/2016,09/06/2016,True,True,Moore Ltd,Moore Ltd,True,True
granite,batch1-0932,916.21,916.21,True,True,01/02/2018,01/02/2018,True,True,Mcintosh-Taylor,Mcintosh-Taylor,True,True
granite,batch1-0238,3065.64,3065.64,True,True,04/16/2020,04/16/2020,True,True,"Shah, Parsons and Shea","Shah, Parsons and Shea",True,True
granite,batch1-0449,17711.25,17711.25,True,True,06/19/2011,06/19/2011,True,True,"Wright, Pineda and Walker","Wright, Pineda and Walker",True,True
granite,batch1-1123,37.05,37.05,True,True,08/26/2017,08/26/2017,True,True,Ramos-Gomez,Ramos-Gomez,True,True
granite,batch1-1403,219.89,219.89,True,True,03/12/2013,03/12/2013,True,True,Barker-Fletcher,Barker-Fletcher,True,True
granite,batch1-1071,1126.13,1126.13,True,True,11/23/2016,11/23/2016,True,True,Lindsey Inc,Lindsey Inc,True,True
granite,batch1-1266,2858.84,2858.84,True,True,04/13/2020,04/13/2020,True,True,Tran-Dunn,Tran-Dunn,True,True
granite,batch1-1222,44262.48,44262.48,True,True,07/23/2017,07/23/2017,True,True,Barber LLC,Barber LLC,True,True
granite,batch1-0846,97.33,97.33,True,True,12/04/2018,12/04/2018,True,True,"Love, Smith and Harris","Love, Smith and Harris",True,True
granite,batch1-1166,228.71,228.71,True,True,09/26/2016,09/26/2016,True,True,Duran-Cole,Duran-Cole,True,True
granite,batch1-1469,1129.04,1129.04,True,True,03/02/2017,03/02/2017,True,True,Wang-Tran,Wang-Tran,True,True
granite,batch1-0883,2345.76,2345.76,True,True,11/03/2020,11/03/2020,True,True,Greene Ltd,Greene Ltd,True,True
granite,batch1-0434,20986.37,20986.37,True,True,08/03/2014,08/03/2014,True,True,"Campbell, Hernandez and Myers","Campbell, Hernandez and Myers",True,True
granite,batch1-0060,32.83,32.83,True,True,11/26/2012,11/26/2012,True,True,"Cohen, Saunders and Chapman","Cohen, Saunders and Chapman",True,True
granite,batch1-0126,274.42,274.42,True,True,04/17/2020,04/17/2020,True,True,"Walker, Andrews and Leblanc","Walker, Andrews and Leblanc",True,True
granite,batch1-0454,993.96,993.96,True,True,05/11/2020,05/11/2020,True,True,"Knight, Howell and Pugh","Knight, Howell and Pugh",True,True
granite,batch1-0717,4618.75,4618.75,True,True,02/06/2020,02/06/2020,True,True,Stone-Ruiz,Stone-Ruiz,True,True
granite,batch1-1068,33527.36,33527.36,True,True,01/20/2019,01/20/2019,True,True,Arnold PLC,Arnold PLC,True,True
granite,batch1-0167,95.22,86.56,True,False,03/09/2020,03/09/2020,True,True,Alexander-Valenzuela,Alexander-Valenzuela,True,True
granite,batch1-0292,328.2,328.2,True,True,04/24/2017,04/24/2017,True,True,"Allen, Gibbs and Holmes","Allen, Gibbs and Holmes",True,True
granite,batch1-0266,760.1,760.1,True,True,11/08/2015,11/08/2015,True,True,"Freeman, Carter and Peterson","Freeman, Carter and Peterson",True,True
granite,batch1-0981,3490.29,3490.29,True,True,07/17/2013,07/17/2013,True,True,Smith Ltd,Smith Ltd,True,True
granite,batch1-0174,15937.63,15937.63,True,True,10/29/2012,10/29/2012,True,True,Hanson Ltd,Hanson Ltd,True,True
granite,batch1-1473,102.3,102.3,True,True,02/12/2013,02/12/2013,True,True,"Stone, Lopez and Harding","Stone, Lopez and Harding",True,True
granite,batch1-0100,235.79,235.79,True,True,05/22/2018,05/22/2018,True,True,Henderson Group,Henderson Group,True,True
granite,batch1-0716,415.75,415.75,True,True,05/05/2013,05/05/2013,True,True,Eaton LLC,Eaton LLC,True,True
granite,batch1-1377,5256.04,5256.04,True,True,02/08/2014,02/08/2014,True,True,Kaufman-Hopkins,Kaufman-Hopkins,True,True
granite,batch1-0692,7397.59,7397.59,True,True,11/07/2017,11/07/2017,True,True,Martin-Silva,Martin-Silva,True,True
granite,batch1-0374,6.6,6.6,True,True,05/09/2017,05/09/2017,True,True,Kirby Group,Kirby Group,True,True
granite,batch1-1225,285.95,285.95,True,True,03/09/2012,03/09/2012,True,True,Carroll-Cardenas,Carroll-Cardenas,True,True
granite,batch1-1344,816.49,816.49,True,True,03/25/2017,03/25/2017,True,True,"Arnold, Holder and Armstrong","Arnold, Holder and Armstrong",True,True
granite,batch1-0764,3766.06,3766.06,True,True,07/11/2016,07/11/2016,True,True,"Alexander, Hensley and Watson","Alexander, Hensley and Watson",True,True
granite,batch1-0286,18471.6,18471.6,True,True,12/23/2017,12/23/2017,True,True,"Barnes, Parks and Jenkins","Barnes, Parks and Jenkins",True,True
granite,batch1-0843,10.99,10.99,True,True,03/06/2021,03/06/2021,True,True,Watson-Harris,Watson-Harris,True,True
granite,batch1-0049,342.87,342.87,True,True,01/11/2018,01/11/2018,True,True,Martinez PLC,Martinez PLC,True,True
granite,batch1-1132,767.32,767.32,True,True,10/07/2017,10/07/2017,True,True,Barker LLC,Barker LLC,True,True
granite,batch1-0757,1682.77,1682.77,True,True,09/09/2018,09/09/2018,True,True,"Boyd, Franklin and Santos","Boyd, Franklin and Santos",True,True
granite,batch1-1484,7096.28,7096.28,True,True,01/12/2012,01/12/2012,True,True,Smith-Guerrero,Smith-Guerrero,True,True
granite,batch1-1124,158.4,158.4,True,True,10/07/2019,10/07/2019,True,True,Kelly-Freeman,Kelly-Freeman,True,True
granite,batch1-1453,365.2,365.2,True,True,10/22/2012,10/22/2012,True,True,Meyer Inc,Meyer Inc,True,True
granite,batch1-1134,577.31,577.31,True,True,08/11/2018,08/11/2018,True,True,Rice Group,Rice Group,True,True
granite,batch1-1297,6494.81,6494.81,True,True,09/09/2017,09/09/2017,True,True,Tapia-Smith,Tapia-Smith,True,True
granite,batch1-0134,10818.95,10818.95,True,True,04/07/2015,04/07/2015,True,True,"Cervantes, Carpenter and Morse","Cervantes, Carpenter and Morse",True,True
paddle,batch1-0182,127.31,127.31,True,True,10/02/2020,10/02/2020,True,True,"Campbell, Chavez and Reynolds","Campbell, Chavez and Reynolds",True,True
paddle,batch1-1294,192.5,192.5,True,True,04/24/2021,04/24/2021,True,True,"Gonzales, Rodgers and Sanchez","Gonzales, Rodgers and Sanchez",True,True
paddle,batch1-1100,500.29,500.29,True,True,02/24/2018,02/24/2018,True,True,"Long, Alvarez and Mendoza","Long, Alvarez and Mendoza",True,True
paddle,batch1-0345,6591.93,6591.93,True,True,10/04/2020,10/04/2020,True,True,Jones and Sons,Jones and Sons,True,True
paddle,batch1-1375,21089.9,21089.9,True,True,08/24/2016,08/24/2016,True,True,"Thomas, Gonzalez and Bennett","Thomas, Gonzalez and Bennett",True,True
paddle,batch1-0474,44.28,44.28,True,True,05/24/2019,05/24/2019,True,True,"Thomas, White and Smith","Thomas, White and Smith",True,True
paddle,batch1-1224,165.42,165.42,True,True,02/11/2017,02/11/2017,True,True,"Peters, Barnett and Ramos","Peters, Barnett and Ramos",True,True
paddle,batch1-0572,462.77,462.77,True,True,10/14/2020,10/14/2020,True,True,Choi Inc,Choi Inc,True,True
paddle,batch1-0475,1883.91,1883.91,True,True,04/16/2014,04/16/2014,True,True,Acosta-Mendoza,Acosta-Mendoza,True,True
paddle,batch1-1480,9556.58,9556.58,True,True,10/20/2014,10/20/2014,True,True,Hayes-Mcdonald,Hayes-Mcdonald,True,True
paddle,batch1-0742,119.23,119.23,True,True,01/03/2015,01/03/2015,True,True,Hunt Group,Hunt Group,True,True
paddle,batch1-0884,275.0,275.0,True,True,03/07/2017,03/07/2017,True,True,Mcdonald LLC,Mcdonald LLC,True,True
paddle,batch1-0864,893.82,812.56,True,False,09/01/2018,09/01/2018,True,True,"Sims, Salinas and Tanner","Sims, Salinas and Tanner",True,True
paddle,batch1-1165,6640.07,6640.07,True,True,02/26/2019,02/26/2019,True,True,"Campbell, Mathis and Johnson","Campbell, Mathis and Johnson",True,True
paddle,batch1-0415,21710.03,21710.03,True,True,03/28/2017,03/28/2017,True,True,Jones Ltd,Jones Ltd,True,True
paddle,batch1-0471,40.3,40.3,True,True,08/30/2011,08/30/2011,True,True,Williams Group,Williams Group,True,True
paddle,batch1-0902,181.5,181.5,True,True,10/05/2014,10/05/2014,True,True,"Arnold, Watson and Taylor","Arnold, Watson and Taylor",True,True
paddle,batch1-1019,409.05,409.05,True,True,01/03/2019,01/03/2019,True,True,Thomas PLC,Thomas PLC,True,True
paddle,batch1-0093,2235.2,2235.2,True,True,10/03/2017,10/03/2017,True,True,Lopez-Smith,Lopez-Smith,True,True
paddle,batch1-0704,32880.8,32880.8,True,True,12/19/2019,12/19/2019,True,True,Hart Ltd,Hart Ltd,True,True
paddle,batch1-0790,4.94,4.94,True,True,12/23/2013,12/23/2013,True,True,Lewis and Sons,Lewis and Sons,True,True
paddle,batch1-0296,169.25,169.25,True,True,08/20/2012,08/20/2012,True,True,Kennedy-Odonnell,Kennedy-Odonnell,True,True
paddle,batch1-1055,459.79,459.79,True,True,01/21/2016,01/21/2016,True,True,Johnson PLC,Johnson PLC,True,True
paddle,batch1-0336,4746.42,4746.42,True,True,04/07/2016,04/07/2016,True,True,Decker PLC,Decker PLC,True,True
paddle,batch1-1325,39935.77,39935.77,True,True,08/20/2016,08/20/2016,True,True,Deleon and Sons,Deleon and Sons,True,True
paddle,batch1-0724,55.66,55.66,True,True,05/06/2021,05/06/2021,True,True,"Glover, Harvey and Davis","Glover, Harvey and Davis",True,True
paddle,batch1-1151,331.99,331.99,True,True,12/13/2012,12/13/2012,True,True,Banks Group,Banks Group,True,True
paddle,batch1-0088,500.24,500.24,True,True,12/22/2013,12/22/2013,True,True,Kim-Davenport,Kim-Davenport,True,True
paddle,batch1-1349,4783.7,4783.7,True,True,08/01/2015,08/01/2015,True,True,Whitaker Ltd,Whitaker Ltd,True,True
paddle,batch1-0817,55378.76,55378.76,True,True,09/26/2011,09/26/2011,True,True,Stevens-Compton,Stevens-Compton,True,True
paddle,batch1-0397,159.45,159.45,True,True,07/22/2020,07/22/2020,True,True,Cook and Sons,Cook and Sons,True,True
paddle,batch1-0979,220.44,220.44,True,True,10/25/2018,10/25/2018,True,True,"Terry, Forbes and Franklin","Terry, Forbes and Franklin",True,True
paddle,batch1-0165,698.89,698.89,True,True,10/11/2018,10/11/2018,True,True,Lewis-Moyer,Lewis-Moyer,True,True
paddle,batch1-1312,1980.0,1980.0,True,True,02/20/2020,02/20/2020,True,True,Andrade Inc,Andrade Inc,True,True
paddle,batch1-0500,34486.08,34486.08,True,True,07/24/2018,07/24/2018,True,True,"Carrillo, Lara and Hooper","Carrillo, Lara and Hooper",True,True
paddle,batch1-0073,53.96,53.96,True,True,11/05/2019,11/05/2019,True,True,"Johnson, Buckley and Terry","Johnson, Buckley and Terry",True,True
paddle,batch1-1273,280.5,280.5,True,True,11/01/2018,11/01/2018,True,True,Moses-Blair,Moses-Blair,True,True
paddle,batch1-1226,1393.63,1393.63,True,True,11/19/2015,11/19/2015,True,True,"Robinson, Mcclain and Moore","Robinson, Mcclain and Moore",True,True
paddle,batch1-0427,3756.43,3756.43,True,True,07/24/2013,07/24/2013,True,True,Jensen PLC,Jensen PLC,True,True
paddle,batch1-0964,33794.35,33794.35,True,True,02/18/2017,02/18/2017,True,True,Pena-White,Pena-White,True,True
paddle,batch1-0809,60.45,60.45,True,True,08/22/2012,08/22/2012,True,True,"Crawford, Acosta and Solomon","Crawford, Acosta and Solomon",True,True
paddle,batch1-0283,314.27,314.27,True,True,05/07/2017,05/07/2017,True,True,Cohen-Fleming,Cohen-Fleming,True,True
paddle,batch1-0796,882.05,882.05,True,True,10/25/2013,10/25/2013,True,True,Mcdonald and Sons,Mcdonald and Sons,True,True
paddle,batch1-1439,2463.78,2463.78,True,True,10/25/2013,10/25/2013,True,True,Thompson-Webster,Thompson-Webster,True,True
paddle,batch1-0367,93439.3,93439.3,True,True,05/30/2015,05/30/2015,True,True,Day and Sons,Day and Sons,True,True
paddle,batch1-0452,39.53,39.53,True,True,08/23/2013,08/23/2013,True,True,Pena-Boyd,Pena-Boyd,True,True
paddle,batch1-0108,360.58,360.58,True,True,04/22/2013,04/22/2013,True,True,Jackson Ltd,Jackson Ltd,True,True
paddle,batch1-0824,589.41,589.41,True,True,08/09/2012,08/09/2012,True,True,Oconnor Group,Oconnor Group,True,True
paddle,batch1-0851,5224.97,5224.97,True,True,04/13/2019,04/13/2019,True,True,Young-Wilkinson,Young-Wilkinson,True,True
paddle,batch1-0560,14030.36,14030.36,True,True,09/13/2014,09/13/2014,True,True,"Barr, Bennett and Williams","Barr, Bennett and Williams",True,True
paddle,batch1-0428,10.98,10.98,True,True,11/05/2017,11/05/2017,True,True,Henry Inc,Henry Inc,True,True
paddle,batch1-0897,341.63,341.63,True,True,01/13/2013,01/13/2013,True,True,Colon and Sons,Colon and Sons,True,True
paddle,batch1-1178,675.82,675.82,True,True,10/29/2012,10/29/2012,True,True,"Roberts, Gonzalez and Davis","Roberts, Gonzalez and Davis",True,True
paddle,batch1-1290,1512.48,1512.48,True,True,12/27/2015,12/27/2015,True,True,Vargas-York,Vargas-York,True,True
paddle,batch1-0120,9908.95,9908.95,True,True,11/26/2017,11/26/2017,True,True,Harris Group,Harris Group,True,True
paddle,batch1-0903,111.07,111.07,True,True,12/30/2012,12/30/2012,True,True,Mcgrath-Ruiz,Mcgrath-Ruiz,True,True
paddle,batch1-0705,255.64,255.64,True,True,05/25/2016,05/25/2016,True,True,"Hines, Stevens and Wong","Hines, Stevens and Wong",True,True
paddle,batch1-1046,686.02,623.65,True,False,12/11/2013,12/11/2013,True,True,"Johnson, Perez and Zhang","Johnson, Perez and Zhang",True,True
